contrast,n_tested,n_fdr_05,n_fdr_10,min_adj_p
BFR_post_vs_pre,3042,82,131,1.510482752730352e-5
HLRT_post_vs_pre,3042,114,199,1.3387861566753812e-8
BFR_vs_HLRT_at_T1,3042,0,0,0.9990531291566171
BFR_vs_HLRT_at_T2,3042,0,0,0.9996304484322664
interaction,3042,0,0,0.9991664008366984
