contrast,protein,Protein.Names,Genes,NPrec,PropObs,logFC,AveExpr,t,P.Value,adj.P.Val,B,pi_score
BFR_post_vs_pre,Q9H1R3,MYLK2_HUMAN,MYLK2,37,0.62574788528987,-0.5666455938551493,20.410569514592385,-6.397965635930989,4.9654265375751215e-9,1.510482752730352e-5,10.38555661767873,1.9703817398141947e-5
BFR_post_vs_pre,P43490,NAMPT_HUMAN,NAMPT,29,0.5119768360094762,0.6662053948598476,19.61118660288994,5.799786379242502,7.634714460841904e-8,1.1612400694940535e-4,7.799532623381687,1.813335510377697e-5
BFR_post_vs_pre,P54289,CA2D1_HUMAN,CACNA2D1,64,0.5871898854961832,-0.287196783511952,19.31016303741407,-5.516282947145326,2.673965487355088e-7,2.711401004178059e-4,6.609791517414737,0.01295091003573787
BFR_post_vs_pre,Q02252,MMSA_HUMAN,ALDH6A1,27,0.3862029968900198,-0.3810817565227893,17.66424302313414,-5.139423697739924,1.3488732335097e-6,8.556650279132411e-4,5.1132052993855055,0.005794808519811441
BFR_post_vs_pre,Q9P2R7,SUCB1_HUMAN,SUCLA2,49,0.6499454743729552,0.27387240914353583,21.253452963510377,5.093394786926869,1.6370431507236954e-6,8.556650279132411e-4,4.89321722098683,0.026024998182370158
BFR_post_vs_pre,Q9ULX7,CAH14_HUMAN,CA14,3,0.45038167938931295,0.9234370971934212,18.431480753341894,5.086129880530162,1.6877022246809488e-6,8.556650279132411e-4,4.499910220625752,4.669504644547113e-6
BFR_post_vs_pre,Q6NVY1,HIBCH_HUMAN,HIBCH,37,0.5952135341448318,0.2672852003044355,20.05572730286931,5.024511304806189,2.183501502136081e-6,9.488873670711369e-4,4.658288053706924,0.030685945404815302
BFR_post_vs_pre,Q53GG5,PDLI3_HUMAN,PDLIM3,45,0.793214588634436,-0.4178654733122258,23.403510917993557,-4.883819145816558,3.906575659013579e-6,0.0014854753943399134,4.066139109341203,0.005496653694089379
BFR_post_vs_pre,P10809,CH60_HUMAN,HSPD1,62,0.6754493967003201,0.2557816387232208,21.21928260729632,4.793660021929674,5.644455973076523e-6,0.001821907600575737,3.716773850248517,0.04545286861037128
BFR_post_vs_pre,P19367,HXK1_HUMAN,HK1,55,0.6131852879944483,0.3255496824727544,20.817556909554803,4.779048995508105,5.98917685922333e-6,0.001821907600575737,3.6828411309849223,0.01994222124192453
BFR_post_vs_pre,P09455,RET1_HUMAN,RBP1,10,0.08549618320610687,1.4400949933826332,15.597593002320876,4.742246604293968,7.308694800476464e-6,0.002021186325731764,3.5573272564512264,4.012743956921871e-8
BFR_post_vs_pre,P51553,IDH3G_HUMAN,IDH3G,21,0.6023264267539077,0.33219139633176553,20.390363029313704,4.699050536495817,8.270697979833736e-6,0.002096621937887852,3.4297661142754823,0.020495156268359172
BFR_post_vs_pre,Q99584,S10AD_HUMAN,S100A13,7,0.5943293347873501,0.8511731711682735,19.98939712581033,4.60963268002966,1.1886349521079157e-5,0.002777791538251709,3.0957651232008185,6.42707563861775e-5
BFR_post_vs_pre,P04216,THY1_HUMAN,THY1,6,0.3015267175572519,1.2042804896410466,17.1066520028209,4.587726762106365,1.3049241509468857e-5,0.002777791538251709,2.8529861327764685,1.3115795484182856e-6
BFR_post_vs_pre,P30622,CLIP1_HUMAN,CLIP1,58,0.40708081073966834,-0.27304944224461636,17.098321112016595,-4.572436816177104,1.3697196934180024e-5,0.002777791538251709,2.9145358941873365,0.04699590294601157
BFR_post_vs_pre,Q02641,CACB1_HUMAN,CACNB1,12,0.7245547073791349,-0.3464421751986002,20.15463719324649,-4.507615641203684,1.767882551949233e-5,0.003209404242142006,2.7445922972535355,0.022569265290420335
BFR_post_vs_pre,Q9Y2Q3,GSTK1_HUMAN,GSTK1,19,0.5419847328244275,0.4104300553374536,19.707717815974856,4.4946739769553234,1.859808776922324e-5,0.003209404242142006,2.698234241628601,0.011440568603168314
BFR_post_vs_pre,Q16658,FSCN1_HUMAN,FSCN1,11,0.45662734212352535,0.552032522574244,17.411001237032853,4.4893360632789925,1.8990557645810685e-5,0.003209404242142006,2.678290839027075,0.002475137135234708
BFR_post_vs_pre,Q96DG6,CMBL_HUMAN,CMBL,26,0.7281268349970641,-0.31727909644012087,22.63239787000951,-4.401871794142416,2.668308687840907e-5,0.004272102646532653,2.301268986096191,0.03538672027304395
BFR_post_vs_pre,P33121,ACSL1_HUMAN,ACSL1,65,0.6708162066940693,0.20859289450302043,21.790979046365344,4.295607955156103,4.0117915470544866e-5,0.005701405269751129,1.8676047637070567,0.12102849202221513
