collection,contrast,pathway,pval,padj,log2err,ES,NES,size,leadingEdge
Hallmark,BFR_post_vs_pre,Hallmark|HALLMARK_ADIPOGENESIS,0.0021952035422667295,0.022500836308233976,0.4317076958033464,0.34787160619874474,1.5929189727462787,118,HIBCH;IDH3G;IDH3A;MDH2;DECR1;CRAT;ECH1;ACO2;CS;AK2;ACAA2;ETFB;DLAT;UQCRC1;SUCLG1;ECHS1;TST;GBE1;PRDX3;UQCR10;GRPEL1;PLIN2;UQCR11;EPHX2;COQ3;SAMM50;ACLY;SQOR;MYLK;AIFM1;COQ5;COX7B;STOM;ATP5PO;NDUFS3;HADH;PTCD3;CYC1;LPCAT3;GHITM;SNCG;MRPL15;NDUFB7;CAT;ESYT1;BCL2L13;SDHC;CD151
Hallmark,BFR_post_vs_pre,Hallmark|HALLMARK_ALLOGRAFT_REJECTION,0.22095238095238096,0.603936507936508,0.12625398784911535,0.32797444183525026,1.1976065498622495,35,THY1;B2M;FLNA;NME1;STAT1;MTIF2;AARS1;CAPG
Hallmark,BFR_post_vs_pre,Hallmark|HALLMARK_ANDROGEN_RESPONSE,0.7448559670781894,0.9014386819816684,0.06064040094941603,-0.23152900366827028,-0.8268517681814048,33,H1-0;PDLIM5;TSC22D1;DHCR24;VAPA;LMAN1;DBI;ADRM1;RPS6KA3;FKBP5
Hallmark,BFR_post_vs_pre,Hallmark|HALLMARK_APICAL_JUNCTION,0.1342685370741483,0.4234623092338523,0.17093233537005617,0.31065141014195297,1.2442054304784254,54,THY1;FSCN1;CAP1;CRAT;MYH9;AKT2;PECAM1;ZYX;VASP;CD99;INPPL1;HADH;GNAI2;MYL9;RSU1;PARVA;RRAS;MSN;EXOC4
Hallmark,BFR_post_vs_pre,Hallmark|HALLMARK_APOPTOSIS,0.8545816733067729,0.9633756205184777,0.05269730857084192,-0.2029537435894551,-0.7885725154112732,49,PPP3R1;HSPB1;CD38;H1-0;SQSTM1;CDKN1B;GSTM1;GPX1
Hallmark,BFR_post_vs_pre,Hallmark|HALLMARK_BILE_ACID_METABOLISM,0.3803088803088803,0.7087574587574588,0.09225972605273541,0.2967713108593404,1.0362429542280371,29,RBP1;GSTK1;ACSL1;EPHX2;FDXR;MLYCD
Hallmark,BFR_post_vs_pre,Hallmark|HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.30357142857142855,0.7087574587574588,0.10755437526516934,0.35103624060930905,1.119818204363617,22,ECH1;S100A11;LGALS3;ETHE1
Hallmark,BFR_post_vs_pre,Hallmark|HALLMARK_COAGULATION,0.06395348837209303,0.291343669250646,0.24891111443470243,0.3969502992723115,1.4178404833860974,33,S100A13;GSN;ANXA1;PECAM1;CRIP2;SPARC;CTSB;MSRB2;FN1;A2M;RGN;CPQ;ARF4;ISCU;CSRP1;S100A1;ITGB3;THBS1;CAPN2;LRP1
Hallmark,BFR_post_vs_pre,Hallmark|HALLMARK_COMPLEMENT,0.6352705410821643,0.8962179487179487,0.06705125798294667,0.23159456340952828,0.8905519595118141,46,S100A13;LAP3;PDP1;LGALS3;FDX1;CTSB;EHD1;FN1;GNG2;GNAI2;CASP3;CPQ;RAF1;CTSL;CDH13;CSRP1
Hallmark,BFR_post_vs_pre,Hallmark|HALLMARK_DNA_REPAIR,0.6074380165289256,0.8962179487179487,0.07078990945026231,0.24092616370675282,0.9073270212096425,43,BOLA2;AK3;PNP;HPRT1;COX17;DDB1;NME1;MPC2;CMPK2;NUDT9;APRT;GMPR2
Hallmark,BFR_post_vs_pre,Hallmark|HALLMARK_E2F_TARGETS,0.35135135135135137,0.7087574587574588,0.09688777032754396,-0.27731695923006006,-1.0685962624608114,43,SHMT1;CSE1L;CDKN1B;RPA1;HNRNPD;RBBP7;PRDX4;RAN;PRPS1;RANBP1;GSPT1;EIF2S1;SYNCRIP;ANP32E;ZW10;PCNA
Hallmark,BFR_post_vs_pre,Hallmark|HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.35802469135802467,0.7087574587574588,0.09957912004959042,0.2560902232915615,1.0562026083714509,64,THY1;BASP1;SERPINH1;NNMT;ECM1;TPM4;PPIB;PCOLCE;FLNA;SPARC;MYLK;FN1;COPA;CAPG;MYL9;TGM2;TAGLN;FBLN2
Hallmark,BFR_post_vs_pre,Hallmark|HALLMARK_ESTROGEN_RESPONSE_EARLY,0.570281124497992,0.8962179487179487,0.07253518643945886,-0.2687136653144588,-0.927408170959551,28,PDLIM3;DEPTOR;BCL2;SVIL;HSPB8;TPD52L1;ENDOD1
Hallmark,BFR_post_vs_pre,Hallmark|HALLMARK_ESTROGEN_RESPONSE_LATE,0.3709677419354839,0.7087574587574588,0.09624060232812902,0.2811022667128495,1.0503808651212536,40,ETFB;HPRT1;UGDH;HSPA4L;TST;ADD3;PPIF;FLNB;COX6C;DCXR;SLC16A1;ASS1;MYOF
Hallmark,BFR_post_vs_pre,Hallmark|HALLMARK_FATTY_ACID_METABOLISM,2.7686163004354447e-7,5.6756634158926614e-6,0.674962860011025,0.47327559495717303,2.1305818621009354,100,SUCLA2;HIBCH;IDH3G;IDH3B;ACSL1;ECI2;MDH2;DECR1;HSDL2;FH;CRAT;SUCLG2;ECH1;ACO2;HCCS;AUH;ACAA2;HMGCL;UROD;SUCLG1;HSD17B10;ACSS1;UGDH;ECHS1;ECI1;DLST;PDHA1
Hallmark,BFR_post_vs_pre,Hallmark|HALLMARK_G2M_CHECKPOINT,0.006122028744404924,0.050200635704120374,0.40701791892395395,-0.4584093527325095,-1.7328576232147812,40,CUL5;DMD;RAD23B;MAP3K20;CUL1;PRMT5;CDKN1B;TNPO2;MAPK14;HNRNPD;HSPA8;PURA;EWSR1;GSPT1;SYNCRIP;CUL4A;KPNB1;CUL3;G3BP1;CHMP1A
