set_id,database,pathway,msigdb_id,source_id,description,url,source_size,measured_size,measured_fraction,status,representative,jaccard
Hallmark|HALLMARK_ADIPOGENESIS,Hallmark,HALLMARK_ADIPOGENESIS,M5905,,Genes up-regulated during adipocyte differentiation (adipogenesis).,,200,118,0.59,retained,NA,NA
Hallmark|HALLMARK_ALLOGRAFT_REJECTION,Hallmark,HALLMARK_ALLOGRAFT_REJECTION,M5950,,Genes up-regulated during transplant rejection.,,200,35,0.175,retained,NA,NA
Hallmark|HALLMARK_ANDROGEN_RESPONSE,Hallmark,HALLMARK_ANDROGEN_RESPONSE,M5908,,Genes defining response to androgens.,,101,33,0.32673267326732675,retained,NA,NA
Hallmark|HALLMARK_ANGIOGENESIS,Hallmark,HALLMARK_ANGIOGENESIS,M5944,,Genes up-regulated during formation of blood vessels (angiogenesis).,,36,7,0.19444444444444445,too_few_measured,NA,NA
Hallmark|HALLMARK_APICAL_JUNCTION,Hallmark,HALLMARK_APICAL_JUNCTION,M5915,,Genes encoding components of apical junction complex.,,200,54,0.27,retained,NA,NA
Hallmark|HALLMARK_APICAL_SURFACE,Hallmark,HALLMARK_APICAL_SURFACE,M5916,,"Genes encoding proteins over-represented on the apical surface of epithelial cells, e.g., important for cell polarity (apical area).",,44,6,0.13636363636363635,too_few_measured,NA,NA
Hallmark|HALLMARK_APOPTOSIS,Hallmark,HALLMARK_APOPTOSIS,M5902,,Genes mediating programmed cell death (apoptosis) by activation of caspases.,,161,49,0.30434782608695654,retained,NA,NA
Hallmark|HALLMARK_BILE_ACID_METABOLISM,Hallmark,HALLMARK_BILE_ACID_METABOLISM,M5948,,Genes involve in metabolism of bile acids and salts.,,112,29,0.25892857142857145,retained,NA,NA
Hallmark|HALLMARK_CHOLESTEROL_HOMEOSTASIS,Hallmark,HALLMARK_CHOLESTEROL_HOMEOSTASIS,M5892,,Genes involved in cholesterol homeostasis.,,74,22,0.2972972972972973,retained,NA,NA
Hallmark|HALLMARK_COAGULATION,Hallmark,HALLMARK_COAGULATION,M5946,,Genes encoding components of blood coagulation system; also up-regulated in platelets.,,138,33,0.2391304347826087,retained,NA,NA
Hallmark|HALLMARK_COMPLEMENT,Hallmark,HALLMARK_COMPLEMENT,M5921,,"Genes encoding components of the complement system, which is part of the innate immune system.",,200,46,0.23,retained,NA,NA
Hallmark|HALLMARK_DNA_REPAIR,Hallmark,HALLMARK_DNA_REPAIR,M5898,,Genes involved in DNA repair.,,150,43,0.2866666666666667,retained,NA,NA
Hallmark|HALLMARK_E2F_TARGETS,Hallmark,HALLMARK_E2F_TARGETS,M5925,,Genes encoding cell cycle related targets of E2F transcription factors.,,200,43,0.215,retained,NA,NA
Hallmark|HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,M5930,,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",,200,64,0.32,retained,NA,NA
Hallmark|HALLMARK_ESTROGEN_RESPONSE_EARLY,Hallmark,HALLMARK_ESTROGEN_RESPONSE_EARLY,M5906,,Genes defining early response to estrogen.,,200,28,0.14,retained,NA,NA
Hallmark|HALLMARK_ESTROGEN_RESPONSE_LATE,Hallmark,HALLMARK_ESTROGEN_RESPONSE_LATE,M5907,,Genes defining late response to estrogen.,,200,40,0.2,retained,NA,NA
Hallmark|HALLMARK_FATTY_ACID_METABOLISM,Hallmark,HALLMARK_FATTY_ACID_METABOLISM,M5935,,Genes encoding proteins involved in metabolism of fatty acids.,,158,100,0.6329113924050633,retained,NA,NA
Hallmark|HALLMARK_G2M_CHECKPOINT,Hallmark,HALLMARK_G2M_CHECKPOINT,M5901,,"Genes involved in the G2/M checkpoint, as in progression through the cell division cycle.",,200,40,0.2,retained,NA,NA
Hallmark|HALLMARK_GLYCOLYSIS,Hallmark,HALLMARK_GLYCOLYSIS,M5937,,Genes encoding proteins involved in glycolysis and gluconeogenesis.,,200,82,0.41,retained,NA,NA
Hallmark|HALLMARK_HEDGEHOG_SIGNALING,Hallmark,HALLMARK_HEDGEHOG_SIGNALING,M5919,,Genes up-regulated by activation of hedgehog signaling.,,36,5,0.1388888888888889,too_few_measured,NA,NA
Hallmark|HALLMARK_HEME_METABOLISM,Hallmark,HALLMARK_HEME_METABOLISM,M5945,,Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.,,200,65,0.325,retained,NA,NA
Hallmark|HALLMARK_HYPOXIA,Hallmark,HALLMARK_HYPOXIA,M5891,,Genes up-regulated in response to low oxygen levels (hypoxia).,,200,68,0.34,retained,NA,NA
Hallmark|HALLMARK_IL2_STAT5_SIGNALING,Hallmark,HALLMARK_IL2_STAT5_SIGNALING,M5947,,Genes up-regulated by STAT5 in response to IL2 stimulation.,,199,45,0.22613065326633167,retained,NA,NA
Hallmark|HALLMARK_IL6_JAK_STAT3_SIGNALING,Hallmark,HALLMARK_IL6_JAK_STAT3_SIGNALING,M5897,,"Genes up-regulated by IL6 [GeneID=3569] via STAT3 [GeneID=6774], e.g., during acute phase response.",,87,13,0.14942528735632185,too_few_measured,NA,NA
Hallmark|HALLMARK_INFLAMMATORY_RESPONSE,Hallmark,HALLMARK_INFLAMMATORY_RESPONSE,M5932,,Genes defining inflammatory response.,,200,17,0.085,retained,NA,NA
Hallmark|HALLMARK_INTERFERON_ALPHA_RESPONSE,Hallmark,HALLMARK_INTERFERON_ALPHA_RESPONSE,M5911,,Genes up-regulated in response to alpha interferon proteins.,,97,18,0.18556701030927836,retained,NA,NA
Hallmark|HALLMARK_INTERFERON_GAMMA_RESPONSE,Hallmark,HALLMARK_INTERFERON_GAMMA_RESPONSE,M5913,,Genes up-regulated in response to IFNG [GeneID=3458].,,200,40,0.2,retained,NA,NA
Hallmark|HALLMARK_KRAS_SIGNALING_DN,Hallmark,HALLMARK_KRAS_SIGNALING_DN,M5956,,Genes down-regulated by KRAS activation.,,200,17,0.085,retained,NA,NA
Hallmark|HALLMARK_KRAS_SIGNALING_UP,Hallmark,HALLMARK_KRAS_SIGNALING_UP,M5953,,Genes up-regulated by KRAS activation.,,200,16,0.08,retained,NA,NA
Hallmark|HALLMARK_MITOTIC_SPINDLE,Hallmark,HALLMARK_MITOTIC_SPINDLE,M5893,,Genes important for mitotic spindle assembly.,,199,54,0.271356783919598,retained,NA,NA
Hallmark|HALLMARK_MTORC1_SIGNALING,Hallmark,HALLMARK_MTORC1_SIGNALING,M5924,,Genes up-regulated through activation of mTORC1 complex.,,200,107,0.535,retained,NA,NA
Hallmark|HALLMARK_MYC_TARGETS_V1,Hallmark,HALLMARK_MYC_TARGETS_V1,M5926,,A subgroup of genes regulated by MYC - version 1 (v1).,,200,146,0.73,retained,NA,NA
