set_id,database,pathway,msigdb_id,source_id,description,url,source_size,measured_size,measured_fraction,status,representative,jaccard
Hallmark|HALLMARK_MYC_TARGETS_V2,Hallmark,HALLMARK_MYC_TARGETS_V2,M5928,,A subgroup of genes regulated by MYC - version 2 (v2).,,58,14,0.2413793103448276,too_few_measured,NA,NA
Hallmark|HALLMARK_MYOGENESIS,Hallmark,HALLMARK_MYOGENESIS,M5909,,Genes involved in development of skeletal muscle (myogenesis).,,200,117,0.585,retained,NA,NA
Hallmark|HALLMARK_NOTCH_SIGNALING,Hallmark,HALLMARK_NOTCH_SIGNALING,M5903,,Genes up-regulated by activation of Notch signaling.,,32,4,0.125,too_few_measured,NA,NA
Hallmark|HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,HALLMARK_OXIDATIVE_PHOSPHORYLATION,M5936,,Genes encoding proteins involved in oxidative phosphorylation.,,200,174,0.87,retained,NA,NA
Hallmark|HALLMARK_P53_PATHWAY,Hallmark,HALLMARK_P53_PATHWAY,M5939,,Genes involved in p53 pathways and networks.,,200,36,0.18,retained,NA,NA
Hallmark|HALLMARK_PANCREAS_BETA_CELLS,Hallmark,HALLMARK_PANCREAS_BETA_CELLS,M5957,,Genes specifically up-regulated in pancreatic beta cells.,,40,6,0.15,too_few_measured,NA,NA
Hallmark|HALLMARK_PEROXISOME,Hallmark,HALLMARK_PEROXISOME,M5949,,Genes encoding components of peroxisome.,,104,44,0.4230769230769231,retained,NA,NA
Hallmark|HALLMARK_PI3K_AKT_MTOR_SIGNALING,Hallmark,HALLMARK_PI3K_AKT_MTOR_SIGNALING,M5923,,Genes up-regulated by activation of the PI3K/AKT/mTOR pathway.,,105,45,0.42857142857142855,retained,NA,NA
Hallmark|HALLMARK_PROTEIN_SECRETION,Hallmark,HALLMARK_PROTEIN_SECRETION,M5910,,Genes involved in protein secretion pathway.,,96,55,0.5729166666666666,retained,NA,NA
Hallmark|HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Hallmark,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,M5938,,Genes up-regulated by reactive oxigen species (ROS).,,49,30,0.6122448979591837,retained,NA,NA
Hallmark|HALLMARK_SPERMATOGENESIS,Hallmark,HALLMARK_SPERMATOGENESIS,M5951,,"Genes up-regulated during production of male gametes (sperm), as in spermatogenesis.",,135,19,0.14074074074074075,retained,NA,NA
Hallmark|HALLMARK_TGF_BETA_SIGNALING,Hallmark,HALLMARK_TGF_BETA_SIGNALING,M5896,,Genes up-regulated in response to TGFB1 [GeneID=7040].,,54,13,0.24074074074074073,too_few_measured,NA,NA
Hallmark|HALLMARK_TNFA_SIGNALING_VIA_NFKB,Hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB,M5890,,Genes regulated by NF-kB in response to TNF [GeneID=7124].,,200,19,0.095,retained,NA,NA
Hallmark|HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Hallmark,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,M5922,,"Genes up-regulated during unfolded protein response, a cellular stress response related to the endoplasmic reticulum.",,113,44,0.3893805309734513,retained,NA,NA
Hallmark|HALLMARK_UV_RESPONSE_DN,Hallmark,HALLMARK_UV_RESPONSE_DN,M5942,,Genes down-regulated in response to ultraviolet (UV) radiation.,,144,34,0.2361111111111111,retained,NA,NA
Hallmark|HALLMARK_UV_RESPONSE_UP,Hallmark,HALLMARK_UV_RESPONSE_UP,M5941,,Genes up-regulated in response to ultraviolet (UV) radiation.,,158,51,0.3227848101265823,retained,NA,NA
Hallmark|HALLMARK_WNT_BETA_CATENIN_SIGNALING,Hallmark,HALLMARK_WNT_BETA_CATENIN_SIGNALING,M5895,,Genes up-regulated by activation of WNT signaling through accumulation of beta catenin CTNNB1 [GeneID=1499].,,42,3,0.07142857142857142,too_few_measured,NA,NA
Hallmark|HALLMARK_XENOBIOTIC_METABOLISM,Hallmark,HALLMARK_XENOBIOTIC_METABOLISM,M5934,,Genes encoding proteins involved in processing of drugs and other xenobiotics.,,200,67,0.335,retained,NA,NA
Reactome|REACTOME_2_LTR_CIRCLE_FORMATION,Reactome,REACTOME_2_LTR_CIRCLE_FORMATION,M26996,R-HSA-164843,2-LTR circle formation,https://www.reactome.org/content/detail/R-HSA-164843,7,3,0.42857142857142855,source_too_small,NA,NA
Reactome|REACTOME_ABACAVIR_ADME,Reactome,REACTOME_ABACAVIR_ADME,M677,R-HSA-2161522,Abacavir ADME,https://www.reactome.org/content/detail/R-HSA-2161522,9,1,0.1111111111111111,source_too_small,NA,NA
Reactome|REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT,Reactome,REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT,M27147,R-HSA-2161517,Abacavir transmembrane transport,https://www.reactome.org/content/detail/R-HSA-2161517,5,0,0,source_too_small,NA,NA
Reactome|REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,Reactome,REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,M758,R-HSA-382556,ABC-family proteins mediated transport,https://www.reactome.org/content/detail/R-HSA-382556,90,48,0.5333333333333333,redundant,Reactome|REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS,0.6333333333333333
Reactome|REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS,Reactome,REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS,M524,R-HSA-1369062,ABC transporters in lipid homeostasis,https://www.reactome.org/content/detail/R-HSA-1369062,18,3,0.16666666666666666,too_few_measured,NA,NA
Reactome|REACTOME_ABC_TRANSPORTER_DISORDERS,Reactome,REACTOME_ABC_TRANSPORTER_DISORDERS,M27473,R-HSA-5619084,ABC transporter disorders,https://www.reactome.org/content/detail/R-HSA-5619084,65,38,0.5846153846153846,redundant,Reactome|REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS,0.76
Reactome|REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,Reactome,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,M39015,R-HSA-9687136,Aberrant regulation of mitotic exit in cancer due to RB1 defects,https://www.reactome.org/content/detail/R-HSA-9687136,20,1,0.05,too_few_measured,NA,NA
Reactome|REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,Reactome,REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,M38998,R-HSA-9659787,Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects,https://www.reactome.org/content/detail/R-HSA-9659787,17,1,0.058823529411764705,too_few_measured,NA,NA
Reactome|REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT,Reactome,REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT,M3630,R-HSA-167242,Abortive elongation of HIV-1 transcript in the absence of Tat,https://www.reactome.org/content/detail/R-HSA-167242,23,3,0.13043478260869565,too_few_measured,NA,NA
Reactome|REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS,Reactome,REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS,M757,R-HSA-181431,Acetylcholine binding and downstream events,https://www.reactome.org/content/detail/R-HSA-181431,14,0,0,source_too_small,NA,NA
Reactome|REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS,Reactome,REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS,M41824,R-HSA-9667769,Acetylcholine inhibits contraction of outer hair cells,https://www.reactome.org/content/detail/R-HSA-9667769,5,0,0,source_too_small,NA,NA
Reactome|REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE,Reactome,REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE,M93,R-HSA-264642,Acetylcholine Neurotransmitter Release Cycle,https://www.reactome.org/content/detail/R-HSA-264642,17,1,0.058823529411764705,too_few_measured,NA,NA
Reactome|REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION,Reactome,REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION,M1825,R-HSA-399997,Acetylcholine regulates insulin secretion,https://www.reactome.org/content/detail/R-HSA-399997,10,4,0.4,source_too_small,NA,NA
Reactome|REACTOME_ACROSOME_REACTION_AND_SPERM_OOCYTE_MEMBRANE_BINDING,Reactome,REACTOME_ACROSOME_REACTION_AND_SPERM_OOCYTE_MEMBRANE_BINDING,M26936,R-HSA-1300645,Acrosome Reaction and Sperm:Oocyte Membrane Binding,https://www.reactome.org/content/detail/R-HSA-1300645,6,1,0.16666666666666666,source_too_small,NA,NA
Reactome|REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS,Reactome,REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS,M592,R-HSA-2122948,Activated NOTCH1 Transmits Signal to the Nucleus,https://www.reactome.org/content/detail/R-HSA-2122948,31,3,0.0967741935483871,too_few_measured,NA,NA
Reactome|REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5,Reactome,REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5,M27914,R-HSA-9032845,Activated NTRK2 signals through CDK5,https://www.reactome.org/content/detail/R-HSA-9032845,6,2,0.3333333333333333,source_too_small,NA,NA
Reactome|REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3,Reactome,REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3,M27911,R-HSA-9028731,Activated NTRK2 signals through FRS2 and FRS3,https://www.reactome.org/content/detail/R-HSA-9028731,11,3,0.2727272727272727,source_too_small,NA,NA
Reactome|REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN,Reactome,REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN,M27912,R-HSA-9032500,Activated NTRK2 signals through FYN,https://www.reactome.org/content/detail/R-HSA-9032500,7,1,0.14285714285714285,source_too_small,NA,NA
Reactome|REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K,Reactome,REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K,M27910,R-HSA-9028335,Activated NTRK2 signals through PI3K,https://www.reactome.org/content/detail/R-HSA-9028335,7,2,0.2857142857142857,source_too_small,NA,NA
Reactome|REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS,Reactome,REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS,M27904,R-HSA-9026519,Activated NTRK2 signals through RAS,https://www.reactome.org/content/detail/R-HSA-9026519,9,2,0.2222222222222222,source_too_small,NA,NA
Reactome|REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K,Reactome,REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K,M27929,R-HSA-9603381,Activated NTRK3 signals through PI3K,https://www.reactome.org/content/detail/R-HSA-9603381,6,1,0.16666666666666666,source_too_small,NA,NA
Reactome|REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS,Reactome,REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS,M27919,R-HSA-9034864,Activated NTRK3 signals through RAS,https://www.reactome.org/content/detail/R-HSA-9034864,8,2,0.25,source_too_small,NA,NA
Reactome|REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3,Reactome,REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3,M27488,R-HSA-5625886,Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3,https://www.reactome.org/content/detail/R-HSA-5625886,66,1,0.015151515151515152,too_few_measured,NA,NA
Reactome|REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION,Reactome,REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION,M17243,R-HSA-450302,activated TAK1 mediates p38 MAPK activation,https://www.reactome.org/content/detail/R-HSA-450302,23,7,0.30434782608695654,too_few_measured,NA,NA
Reactome|REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS,Reactome,REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS,M27948,R-HSA-9619483,Activation of AMPK downstream of NMDARs,https://www.reactome.org/content/detail/R-HSA-9619483,29,14,0.4827586206896552,too_few_measured,NA,NA
Reactome|REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS,Reactome,REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS,M29689,R-HSA-5617472,Activation of anterior HOX genes in hindbrain development during early embryogenesis,https://www.reactome.org/content/detail/R-HSA-5617472,122,6,0.04918032786885246,too_few_measured,NA,NA
Reactome|REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS,Reactome,REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS,M49143,R-HSA-176814,Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,https://www.reactome.org/content/detail/R-HSA-176814,64,34,0.53125,redundant,Reactome|REACTOME_SIGNALING_BY_NOTCH,0.6274509803921569
Reactome|REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,Reactome,REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,M11153,R-HSA-176187,Activation of ATR in response to replication stress,https://www.reactome.org/content/detail/R-HSA-176187,37,3,0.08108108108108109,too_few_measured,NA,NA
Reactome|REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA,Reactome,REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA,M26902,R-HSA-111447,Activation of BAD and translocation to mitochondria,https://www.reactome.org/content/detail/R-HSA-111447,15,11,0.7333333333333333,too_few_measured,NA,NA
Reactome|REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS,Reactome,REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS,M17814,R-HSA-114452,Activation of BH3-only proteins,https://www.reactome.org/content/detail/R-HSA-114452,30,12,0.4,too_few_measured,NA,NA
Reactome|REACTOME_ACTIVATION_OF_C3_AND_C5,Reactome,REACTOME_ACTIVATION_OF_C3_AND_C5,M27031,R-HSA-174577,Activation of C3 and C5,https://www.reactome.org/content/detail/R-HSA-174577,8,0,0,source_too_small,NA,NA
Reactome|REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE,Reactome,REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE,M26906,R-HSA-111459,Activation of caspases through apoptosome-mediated cleavage,https://www.reactome.org/content/detail/R-HSA-111459,6,2,0.3333333333333333,source_too_small,NA,NA
Reactome|REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP,Reactome,REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP,M27172,R-HSA-2426168,Activation of gene expression by SREBF (SREBP),https://www.reactome.org/content/detail/R-HSA-2426168,42,9,0.21428571428571427,too_few_measured,NA,NA
Reactome|REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_IKBKE,Reactome,REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_IKBKE,M970,R-HSA-936964,"Activation of IRF3, IRF7 mediated by TBK1, IKKε (IKBKE)",https://www.reactome.org/content/detail/R-HSA-936964,18,3,0.16666666666666666,too_few_measured,NA,NA
Reactome|REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING,Reactome,REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING,M18193,R-HSA-451326,Activation of kainate receptors upon glutamate binding,https://www.reactome.org/content/detail/R-HSA-451326,30,6,0.2,too_few_measured,NA,NA
Reactome|REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES,Reactome,REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES,M26976,R-HSA-1592389,Activation of Matrix Metalloproteinases,https://www.reactome.org/content/detail/R-HSA-1592389,33,2,0.06060606060606061,too_few_measured,NA,NA
Reactome|REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS,Reactome,REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS,M597,R-HSA-1169091,Activation of NF-kappaB in B cells,https://www.reactome.org/content/detail/R-HSA-1169091,54,37,0.6851851851851852,redundant,Reactome|REACTOME_SIGNALING_BY_NOTCH,0.6538461538461539
Reactome|REACTOME_ACTIVATION_OF_NIMA_KINASES_NEK9_NEK6_NEK7,Reactome,REACTOME_ACTIVATION_OF_NIMA_KINASES_NEK9_NEK6_NEK7,M27213,R-HSA-2980767,"Activation of NIMA Kinases NEK9, NEK6, NEK7",https://www.reactome.org/content/detail/R-HSA-2980767,7,2,0.2857142857142857,source_too_small,NA,NA
Reactome|REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,Reactome,REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,M2843,R-HSA-442755,Activation of NMDA receptors and postsynaptic events,https://www.reactome.org/content/detail/R-HSA-442755,94,30,0.3191489361702128,retained,NA,NA
Reactome|REACTOME_ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA,Reactome,REACTOME_ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA,M26903,R-HSA-111448,Activation of NOXA and translocation to mitochondria,https://www.reactome.org/content/detail/R-HSA-111448,5,0,0,source_too_small,NA,NA
Reactome|REACTOME_ACTIVATION_OF_PPARGC1A_PGC_1ALPHA_BY_PHOSPHORYLATION,Reactome,REACTOME_ACTIVATION_OF_PPARGC1A_PGC_1ALPHA_BY_PHOSPHORYLATION,M27146,R-HSA-2151209,Activation of PPARGC1A (PGC-1alpha) by phosphorylation,https://www.reactome.org/content/detail/R-HSA-2151209,10,6,0.6,source_too_small,NA,NA
Reactome|REACTOME_ACTIVATION_OF_PUMA_AND_TRANSLOCATION_TO_MITOCHONDRIA,Reactome,REACTOME_ACTIVATION_OF_PUMA_AND_TRANSLOCATION_TO_MITOCHONDRIA,M26946,R-HSA-139915,Activation of PUMA and translocation to mitochondria,https://www.reactome.org/content/detail/R-HSA-139915,9,0,0,source_too_small,NA,NA
Reactome|REACTOME_ACTIVATION_OF_RAC1,Reactome,REACTOME_ACTIVATION_OF_RAC1,M6322,R-HSA-428540,Activation of RAC1,https://www.reactome.org/content/detail/R-HSA-428540,13,5,0.38461538461538464,source_too_small,NA,NA
Reactome|REACTOME_ACTIVATION_OF_RAC1_DOWNSTREAM_OF_NMDARS,Reactome,REACTOME_ACTIVATION_OF_RAC1_DOWNSTREAM_OF_NMDARS,M27947,R-HSA-9619229,Activation of RAC1 downstream of NMDARs,https://www.reactome.org/content/detail/R-HSA-9619229,7,1,0.14285714285714285,source_too_small,NA,NA
Reactome|REACTOME_ACTIVATION_OF_RAS_IN_B_CELLS,Reactome,REACTOME_ACTIVATION_OF_RAS_IN_B_CELLS,M26921,R-HSA-1169092,Activation of RAS in B cells,https://www.reactome.org/content/detail/R-HSA-1169092,5,1,0.2,source_too_small,NA,NA
Reactome|REACTOME_ACTIVATION_OF_SMO,Reactome,REACTOME_ACTIVATION_OF_SMO,M27500,R-HSA-5635838,Activation of SMO,https://www.reactome.org/content/detail/R-HSA-5635838,18,1,0.05555555555555555,too_few_measured,NA,NA
Reactome|REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS,Reactome,REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS,M13962,R-HSA-450341,Activation of the AP-1 family of transcription factors,https://www.reactome.org/content/detail/R-HSA-450341,10,4,0.4,source_too_small,NA,NA
