protein,gene,n_precursors,prop_observed,mean_log2,mean_standard_error,mean_n_observations
A0A0B4J2F0,PIGBOS1,1,0.5343511450381679,17.42484191990907,1.131822486936476,0.5343511450381679
A0A0U1RRL7,MMP24OS,1,0.7404580152671756,16.82861180297213,0.96753019408729,0.7404580152671756
A0AVT1,UBA6,20,0.21984732824427483,16.698284583421287,0.4459617652559981,4.396946564885496
A0FGR8,ESYT2,14,0.33478735005452565,16.53374289668967,0.45161873238201383,4.687022900763359
A1A4S6,ARHGAP10,1,0.35877862595419846,13.586227228856831,1.381874725665663,0.35877862595419846
A1IGU5,ARHGEF37,1,0.2595419847328244,14.9942681011373,1.4492481812931002,0.2595419847328244
A1L0T0,ILVBL,6,0.4376590330788804,17.212632178907423,0.5793317923331393,2.6259541984732824
A1L4K1,FSD2,10,0.3709923664122138,16.535071617997026,0.5247622872759531,3.7099236641221376
A2RRP1,NBAS,4,0.16603053435114504,15.517463527835766,1.0439207969484414,0.6641221374045801
A2RTX5,TARS3,9,0.4351145038167939,17.113266646963194,0.5025978543233965,3.9160305343511452
A3KMH1,VWA8,6,0.22010178117048348,15.463434785334325,0.8292834488780094,1.3206106870229009
A4UGR9,XIRP2,45,0.10059372349448685,14.200732989965307,0.4999629042705301,4.526717557251908
A5D6W6,FITM1,5,0.5435114503816794,18.826472925062042,0.620029639910829,2.717557251908397
A5D8V6,VPS37C,2,0.4389312977099237,16.13763977604873,0.9555540646265221,0.8778625954198473
A5YM72,CARNS1,25,0.4570992366412214,17.758088757914493,0.31105366894773606,11.427480916030534
A6NDG6,PGP,24,0.491412213740458,19.24866800779253,0.3439659785407005,11.793893129770993
A6NGB9,WIPF3,3,0.26717557251908397,13.983235792092325,1.0403884335213787,0.8015267175572519
A6NHZ5,LRRC14B,2,0.4312977099236641,16.397688472454,0.8749996950855606,0.8625954198473282
A6NNS2,DHRS7C,22,0.553088133240805,19.406170660690044,0.3138866325721503,12.16793893129771
A8MU46,SMTNL1,40,0.46087786259541985,18.632314642246083,0.27327985277393874,18.435114503816795
A8MXV4,NUDT19,7,0.4591057797164667,17.32886358645257,0.5875373866461203,3.213740458015267
A8MZF0,PRR33,11,0.3566967383761277,16.635665302687283,0.45120995831002353,3.9236641221374047
B0YJ81,HACD1,5,0.47022900763358777,17.488976361791675,0.6530226016401143,2.351145038167939
B4DJY2,TMEM233,2,0.25572519083969464,15.42573557615822,1.2296730794160373,0.5114503816793893
C9JRZ8,AKR1B15,1,0.2595419847328244,15.401648555565215,1.4353304386648866,0.2595419847328244
D6RIA3,C4orf54,7,0.18974918211559433,14.53875237511651,0.7749368503025134,1.3282442748091603
E7EW31,PROB1,14,0.5458015267175572,17.629017892501615,0.3858631087738587,7.641221374045801
E9PAV3,NACA,103,0.6163936856147633,19.472397747685875,0.13445631299223681,63.48854961832061
E9PB15,PTGES3L,2,0.37786259541984735,17.038371319455695,1.102894615821809,0.7557251908396947
L0R6Q1,SLC35A4,3,0.51653944020356235,18.3748134639135,0.9155784424318945,1.549618320610687
O00116,AGPS,3,0.22137404580152673,15.526163435413771,1.0800021226383387,0.6641221374045801
O00151,PDLIM1,25,0.4537404580152672,18.12471251842257,0.3132858641184676,11.34351145038168
O00159,MYO1C,34,0.4072743601257297,17.52699046747975,0.2566565865556168,13.84732824427481
O00161,SNAP23,3,0.3053435114503817,15.558843533295535,1.029424727092471,0.916030534351145
O00165,HAX1,3,0.3536895674300255,15.875582449658923,0.9395985856923071,1.0610687022900764
O00168,FXYD1,1,0.9770992366412213,22.018309179580505,0.7663411733968948,0.9770992366412213
O00170,AIP,3,0.3384223918575064,15.938183833329942,0.9919361836868343,1.015267175572519
O00178,GTPBP1,2,0.4122137404580153,15.585910039524652,0.9488960188274136,0.8244274809160306
O00186,STXBP3,14,0.40567066521264994,17.1559026128139,0.423629161807035,5.679389312977099
O00193,SMAP,5,0.5725190839694656,16.217945535747614,0.5753389964198364,2.8625954198473282
O00217,NDUFS8,13,0.46271285965942455,18.24977941251581,0.43041811761948934,6.015267175572519
O00231,PSMD11,36,0.5648854961832062,18.595706314580347,0.25459236942602,20.33587786259542
O00232,PSMD12,26,0.41603053435114506,17.583339055558167,0.3194678451521528,10.816793893129772
O00233,PSMD9,9,0.5716709075487701,17.532324774578317,0.4587510580019954,5.145038167938932
O00244,ATOX1,7,0.4634678298800436,17.845957233845787,0.6223304851727797,3.2442748091603053
O00264,PGRMC1,3,0.3231552162849873,16.403138603579286,0.9602285901698713,0.9694656488549618
O00273,DFFA,3,0.1679389312977099,14.551897639363558,1.1837270057827884,0.5038167938931297
O00299,CLIC1,8,0.4360687022900763,17.96470391333768,0.5208299237815848,3.4885496183206106
O00303,EIF3F,14,0.46946564885496184,18.024751173043992,0.4197902676145963,6.572519083969466
O00330,PDHX,32,0.7313931297709924,20.207121366285396,0.230202828717197,23.404580152671755
O00399,DCTN6,3,0.3155216284987277,16.401129094513323,1.0340500507111539,0.9465648854961832
O00401,WASL,2,0.3893129770992366,14.94943830663524,1.0689177728395316,0.7786259541984732
O00410,IPO5,47,0.5133993828163067,18.12303235988073,0.21974579912116976,24.129770992366414
O00418,EEF2K,8,0.2919847328244275,16.541343059121584,0.6102996323223974,2.33587786259542
O00423,EML1,23,0.4221705940922668,17.714248354734433,0.3220606586726625,9.709923664122137
O00429,DNM1L,41,0.49283187488363434,18.01951829429275,0.23070751225088543,20.206106870229007
O00442,RTCA,18,0.4923664122137405,18.967170217221835,0.38507237951226186,8.86259541984733
O00479,HMGN4,1,0.5419847328244275,18.444707390221872,1.1119442006774403,0.5419847328244275
O00483,NDUFA4,7,0.6619411123227917,21.878031761047964,0.6254483601877291,4.633587786259542
O00487,PSMD14,10,0.43664122137404576,19.039927365621686,0.4638920894744538,4.366412213740458
O00499,BIN1,47,0.6728926425207081,21.78692185782749,0.22066100482640946,31.625954198473284
O00505,KPNA3,14,0.5774263904034896,18.715754657046926,0.369987238820433,8.083969465648854
O00560,SDCBP,5,0.3648854961832061,17.015976768765768,0.6913424135283432,1.8244274809160306
O00571,DDX3X,5,0.6656488549618321,18.168403108495113,0.5639720124288776,3.3282442748091605
O00629,KPNA4,13,0.5437463300058719,18.52466800985915,0.3854213005550211,7.068702290076335
O00743,PPP6C,5,0.19083969465648856,15.252636808483187,0.9181660117900097,0.9541984732824428
O00748,CES2,13,0.3417498532002349,16.587009397415976,0.40863757804872547,4.442748091603053
