comparison,N,K,n,k,expected,fold_enrichment,p
HALLMARK_OXIDATIVE_PHOSPHORYLATION,3040,174,322,69,18.430263157894736,3.74384236453202,1.3157548982922178e-25
mitochondrial gene-set universe (name-matched),3040,620,322,208,65.67105263157895,3.1673011420557002,1.1238182611727825e-76
