protein,gene,module,kME_own_module
A0A0B4J2F0,PIGBOS1,0,NA
A0A0U1RRL7,MMP24OS,0,NA
A0AVT1,UBA6,0,NA
A0FGR8,ESYT2,6,0.5324558702116281
A1A4S6,ARHGAP10,0,NA
A1IGU5,ARHGEF37,0,NA
A1L0T0,ILVBL,1,0.3017523857565799
A1L4K1,FSD2,2,0.6257103561257715
A2RRP1,NBAS,0,NA
A2RTX5,TARS3,3,0.5247130389088505
A3KMH1,VWA8,3,0.36242074709565375
A4UGR9,XIRP2,2,0.444088223076816
A5D6W6,FITM1,2,0.3041524096867967
A5D8V6,VPS37C,9,0.36760053260236053
A5YM72,CARNS1,3,0.6319381789449083
A6NDG6,PGP,3,0.3217915058646339
A6NGB9,WIPF3,6,0.6310120373517856
A6NHZ5,LRRC14B,0,NA
A6NNS2,DHRS7C,4,0.5106243421034556
A8MU46,SMTNL1,0,NA
A8MXV4,NUDT19,3,0.354880632691922
A8MZF0,PRR33,2,0.7313260387190662
B0YJ81,HACD1,4,0.4978560415422311
B4DJY2,TMEM233,4,0.46207395501432347
C9JRZ8,AKR1B15,0,NA
D6RIA3,C4orf54,2,0.7842378277820585
E7EW31,PROB1,2,0.5124392436600134
E9PAV3,NACA,8,0.6937556766840698
E9PB15,PTGES3L,0,NA
L0R6Q1,SLC35A4,3,0.319975273015763
O00116,AGPS,0,NA
O00151,PDLIM1,2,0.5726507727511372
O00159,MYO1C,1,0.7470857346034228
O00161,SNAP23,1,0.307949178567632
O00165,HAX1,3,0.44125940714182077
O00168,FXYD1,0,NA
O00170,AIP,0,NA
O00178,GTPBP1,9,0.4544658763449617
O00186,STXBP3,0,NA
O00193,SMAP,0,NA
O00217,NDUFS8,10,0.6516466896515202
O00231,PSMD11,0,NA
O00232,PSMD12,6,0.3290389160238119
O00233,PSMD9,5,0.610057818421521
O00244,ATOX1,0,NA
O00264,PGRMC1,1,0.6470511904287951
O00273,DFFA,0,NA
O00299,CLIC1,1,0.7563219496918571
O00303,EIF3F,8,0.6121972969086743
O00330,PDHX,3,0.45074676014292425
O00399,DCTN6,0,NA
O00401,WASL,0,NA
O00410,IPO5,2,0.39835355352054064
O00418,EEF2K,4,0.4573900465457005
O00423,EML1,4,0.46157602055277996
O00429,DNM1L,0,NA
O00442,RTCA,4,0.3032412951674707
O00479,HMGN4,0,NA
O00483,NDUFA4,0,NA
O00487,PSMD14,0,NA
O00499,BIN1,0,NA
O00505,KPNA3,0,NA
O00560,SDCBP,5,0.4332747548435988
O00571,DDX3X,2,0.39451888248994416
O00629,KPNA4,2,0.3577595897982173
O00743,PPP6C,6,0.3719314154555905
O00748,CES2,0,NA
O00757,FBP2,9,0.5856129395558183
O00763,ACACB,0,NA
O00764,PDXK,5,0.5315756411145964
O14521,SDHD,6,0.6460939648821155
O14548,COX7A2L,0,NA
O14558,HSPB6,0,NA
O14561,NDUFAB1,9,0.5438626166841037
O14562,UBFD1,9,0.35369665982028814
O14579,COPE,0,NA
O14602,EIF1AY,0,NA
O14618,CCS,5,0.6652577954398432
O14653,GOSR2,0,NA
O14657,TOR1B,0,NA
O14732,IMPA2,4,0.5662184110779624
O14735,CDIPT,0,NA
O14737,PDCD5,0,NA
O14744,PRMT5,0,NA
O14773,TPP1,1,0.44121815190113106
O14786,NRP1,9,0.34560260674655324
O14787,TNPO2,0,NA
O14818,PSMA7,5,0.42542532282166484
O14828,SCAMP3,7,0.4635612798036905
O14832,PHYH,0,NA
O14841,OPLAH,0,NA
O14874,BCKDK,0,NA
O14880,MGST3,2,0.31177538313002856
O14907,TAX1BP3,0,NA
O14908,GIPC1,0,NA
O14949,UQCRQ,10,0.6378672669614468
O14957,UQCR11,0,NA
O14958,CASQ2,8,0.535919089767896
O14964,HGS,6,0.5685675187211311
O14979,HNRNPDL,2,0.5512473750655297
O14980,XPO1,5,0.4540408183892336
O14983,ATP2A1,0,NA
O15027,SEC16A,0,NA
O15061,SYNM,2,0.8659015397570521
O15067,PFAS,5,0.5679807300379506
O15120,AGPAT2,1,0.48236593281817713
O15126,SCAMP1,0,NA
O15143,ARPC1B,1,0.7659191503443227
O15144,ARPC2,1,0.33739152746195744
O15145,ARPC3,1,0.3683463141940532
O15173,PGRMC2,0,NA
O15211,RGL2,0,NA
O15212,PFDN6,7,0.42209940270893603
O15228,GNPAT,2,0.3082558778263954
O15239,NDUFA1,0,NA
O15247,CLIC2,1,0.5187884145495479
O15260,SURF4,0,NA
O15273,TCAP,2,0.8083080996390813
O15294,OGT,0,NA
O15305,PMM2,0,NA
O15327,INPP4B,0,NA
O15347,HMGB3,0,NA
O15355,PPM1G,0,NA
O15357,INPPL1,0,NA
O15371,EIF3D,8,0.5652924337116622
O15372,EIF3H,2,0.3684692095082215
O15382,BCAT2,0,NA
O15400,STX7,1,0.5536796085680482
O15427,SLC16A3,3,0.40369525634581943
O15498,YKT6,0,NA
O15511,ARPC5,1,0.6599078188629747
O15533,TAPBP,0,NA
O43143,DHX15,0,NA
O43169,CYB5B,4,0.5223141648519912
O43175,PHGDH,1,0.800097001513378
O43181,NDUFS4,10,0.5724607793090756
O43237,DYNC1LI2,0,NA
O43242,PSMD3,4,0.4809545201695917
O43264,ZW10,0,NA
O43301,HSPA12A,1,0.5867443269436061
O43324,EEF1E1,0,NA
O43374,RASA4,0,NA
O43390,HNRNPR,2,0.4985501211280098
O43396,TXNL1,1,0.37284220872749047
O43399,TPD52L2,1,0.5078391833782738
O43402,EMC8,2,0.3777598959364361
O43414,ERI3,7,0.38628033102623677
O43447,PPIH,0,NA
O43464,HTRA2,3,0.3363949998617089
O43488,AKR7A2,1,0.3970125261069775
O43491,EPB41L2,1,0.7646818711503239
O43493,TGOLN2,1,0.43043064991321484
O43504,LAMTOR5,0,NA
O43583,DENR,0,NA
O43598,DNPH1,0,NA
O43615,TIMM44,3,0.7169571772306447
O43617,TRAPPC3,7,0.6240017171941927
O43633,CHMP2A,0,NA
O43639,NCK2,0,NA
O43670,ZNF207,0,NA
O43674,NDUFB5,3,0.32081441459565374
O43676,NDUFB3,0,NA
O43677,NDUFC1,0,NA
O43678,NDUFA2,3,0.3390598003264167
O43681,ASNA1,0,NA
O43684,BUB3,0,NA
O43707,ACTN4,2,0.4586951270565601
O43708,GSTZ1,4,0.4225631880813418
O43715,TRIAP1,3,0.35015394872372785
O43716,GATC,0,NA
O43719,HTATSF1,6,0.5013236978878723
O43741,PRKAB2,3,0.4233444847046663
O43747,AP1G1,6,0.4227581945507412
O43759,SYNGR1,3,0.31108894543880355
O43760,SYNGR2,0,NA
O43765,SGTA,0,NA
O43768,ENSA,4,0.3468271044000117
O43772,SLC25A20,3,0.5395584821697609
O43776,NARS1,0,NA
O43813,LANCL1,0,NA
O43819,SCO2,3,0.3522726950803482
O43826,SLC37A4,4,0.6046680731775851
O43837,IDH3B,3,0.8513523984662847
O43847,NRDC,0,NA
O43852,CALU,7,0.49934243705511505
O43865,AHCYL1,0,NA
O43866,CD5L,5,0.7225667372952742
O43920,NDUFS5,10,0.7006704983668075
O60220,TIMM8A,3,0.4262058401671454
O60237,PPP1R12B,2,0.7244676004705201
O60240,PLIN1,1,0.5719314699449326
O60256,PRPSAP2,9,0.43198812364722067
O60260,PRKN,4,0.4834461159587594
O60262,GNG7,0,NA
O60271,SPAG9,2,0.34259510944459876
O60313,OPA1,3,0.7132135254867583
O60333,KIF1B,4,0.3288293688066441
O60343,TBC1D4,6,0.3635660332686022
O60488,ACSL4,1,0.3981580199501874
O60493,SNX3,1,0.4114592137921098
O60506,SYNCRIP,2,0.5215665588563889
O60551,NMT2,0,NA
O60610,DIAPH1,0,NA
O60613,SELENOF,0,NA
O60662,KLHL41,2,0.6849890667923904
O60664,PLIN3,0,NA
O60684,KPNA6,6,0.318043141403349
O60701,UGDH,1,0.6728797297653836
O60706,ABCC9,6,0.43759110347004476
O60716,CTNND1,0,NA
O60749,SNX2,1,0.4828767000902662
O60763,USO1,6,0.5067427884807578
O60783,MRPS14,0,NA
O60784,TOM1,0,NA
O60826,CCDC22,0,NA
O60841,EIF5B,8,0.6761364279901183
O60869,EDF1,2,0.4592611379688205
O60884,DNAJA2,0,NA
O60888,CUTA,9,0.5141509694711
O60925,PFDN1,0,NA
O60936,NOL3,0,NA
O75027,ABCB7,0,NA
O75083,WDR1,6,0.4335756970175008
O75112,LDB3,2,0.8537771285677984
O75116,ROCK2,2,0.41092962583909176
O75122,CLASP2,4,0.5921807476536105
O75128,COBL,0,NA
O75131,CPNE3,1,0.35980470408778625
O75153,CLUH,3,0.6462488542342021
O75155,CAND2,4,0.6754262724347877
O75170,PPP6R2,4,0.35081649353951055
O75190,DNAJB6,2,0.505249643299459
O75208,COQ9,9,0.459921785801388
O75223,GGCT,4,0.4892314996206551
O75251,NDUFS7,10,0.7105917816773202
O75298,RTN2,0,NA
O75306,NDUFS2,10,0.7863187065909376
O75323,NIPSNAP2,4,0.4590825781898783
O75340,PDCD6,0,NA
O75347,TBCA,5,0.5139502539190827
O75348,ATP6V1G1,5,0.30394491761109765
O75351,VPS4B,0,NA
O75352,MPDU1,2,0.31736517238785644
O75365,PTP4A3,0,NA
O75367,MACROH2A1,2,0.6876579429911494
O75368,SH3BGRL,1,0.7575583374819911
O75369,FLNB,1,0.5866814987030746
O75380,NDUFS6,10,0.7342813843527037
O75390,CS,3,0.6486470027183003
O75391,SPAG7,3,0.28993644911001576
O75394,MRPL33,3,0.5072442915294495
O75396,SEC22B,1,0.3456777065544297
O75431,MTX2,2,0.4092415374410492
O75436,VPS26A,0,NA
O75438,NDUFB1,0,NA
O75439,PMPCB,3,0.5304082358452725
O75477,ERLIN1,0,NA
O75487,GPC4,0,NA
O75489,NDUFS3,2,0.35939027913318333
O75521,ECI2,3,0.5737676031650883
O75531,BANF1,2,0.5639103747533035
