protein,gene,module,kME_own_module
O75533,SF3B1,6,0.5081060717326925
O75534,CSDE1,4,0.6564411277099113
O75569,PRKRA,2,0.6066165088286595
O75608,LYPLA1,0,NA
O75663,TIPRL,9,0.4808537779907041
O75688,PPM1B,6,0.49114153311197867
O75694,NUP155,0,NA
O75746,SLC25A12,10,0.7347554278038659
O75764,TCEA3,0,NA
O75821,EIF3G,2,0.45061718043539745
O75822,EIF3J,8,0.5817548874685396
O75828,CBR3,1,0.5401234102644437
O75832,PSMD10,5,0.40828832716147045
O75844,ZMPSTE24,1,0.3527554118263671
O75874,IDH1,5,0.5440493102029494
O75880,SCO1,0,NA
O75882,ATRN,1,0.5925999215013608
O75884,RBBP9,6,0.5785647770907699
O75891,ALDH1L1,9,0.36686811732479424
O75915,ARL6IP5,0,NA
O75923,DYSF,4,0.47039422889936217
O75935,DCTN3,0,NA
O75947,ATP5PD,3,0.41003063634738257
O75955,FLOT1,5,0.48936634901588605
O75964,ATP5MG,3,0.5536986207077036
O76003,GLRX3,5,0.4818622703636791
O76031,CLPX,0,NA
O76070,SNCG,1,0.5674936693793725
O76071,CIAO1,0,NA
O76094,SRP72,7,0.35183923757208935
O94760,DDAH1,9,0.41095255240731837
O94788,ALDH1A2,7,0.34755062176095297
O94811,TPPP,0,NA
O94826,TOMM70,6,0.36845128964931745
O94829,IPO13,0,NA
O94874,UFL1,8,0.30955821419958673
O94901,SUN1,2,0.7240064610356153
O94903,PLPBP,6,0.38984974320270716
O94905,ERLIN2,2,0.5612815115206273
O94911,ABCA8,1,0.4404420181169288
O94919,ENDOD1,6,0.4258798791430391
O94925,GLS,0,NA
O94966,USP19,4,0.4671967329048311
O94973,AP2A2,1,0.33417750914813704
O94979,SEC31A,6,0.34399102403030934
O95070,YIF1A,0,NA
O95139,NDUFB6,10,0.5335361295814839
O95140,MFN2,3,0.4828011369523746
O95155,UBE4B,7,0.3193130673827997
O95167,NDUFA3,2,0.35936089444972913
O95168,NDUFB4,10,0.7427568443138225
O95169,NDUFB8,10,0.5575093386925314
O95182,NDUFA7,2,0.4113745744495413
O95183,VAMP5,0,NA
O95197,RTN3,1,0.5462475910691391
O95202,LETM1,10,0.31193103013979917
O95208,EPN2,0,NA
O95210,STBD1,3,0.3645661566650656
O95260,ATE1,0,NA
O95273,CCNDBP1,0,NA
O95278,EPM2A,3,0.5529669278763111
O95292,VAPB,2,0.47147442848141285
O95295,SNAPIN,0,NA
O95298,NDUFC2,3,0.33549938583722533
O95299,NDUFA10,10,0.8145366741235057
O95336,PGLS,1,0.5083957948762735
O95352,ATG7,5,0.32874739657765406
O95359,TACC2,4,0.6275861763656102
O95372,LYPLA2,7,0.40564179244044546
O95373,IPO7,9,0.42062806396944025
O95376,ARIH2,0,NA
O95394,PGM3,7,0.48928266898549355
O95396,MOCS3,0,NA
O95425,SVIL,2,0.8493036705911114
O95433,AHSA1,9,0.3860547019139724
O95479,H6PD,1,0.3028386562871472
O95487,SEC24B,6,0.662715099348154
O95563,MPC2,0,NA
O95571,ETHE1,0,NA
O95573,ACSL3,4,0.6101994172287803
O95628,CNOT4,4,0.4675573856248758
O95630,STAMBP,0,NA
O95671,ASMTL,0,NA
O95674,CDS2,0,NA
O95677,EYA4,6,0.543457807689383
O95721,SNAP29,0,NA
O95747,OXSR1,9,0.5925353773653229
O95749,GGPS1,4,0.39082362492432715
O95757,HSPA4L,0,NA
O95777,LSM8,0,NA
O95782,AP2A1,0,NA
O95793,STAU1,0,NA
O95810,CAVIN2,1,0.4194346875095502
O95816,BAG2,2,0.4119200094102475
O95817,BAG3,2,0.7878376633017277
O95822,MLYCD,3,0.5745125650014146
O95825,CRYZL1,4,0.30520799827592393
O95831,AIFM1,3,0.4873858684759028
O95834,EML2,4,0.4019843458200445
O95848,NUDT14,0,NA
O95861,BPNT1,5,0.31939692941714454
O95865,DDAH2,1,0.8217029551730904
O95870,ABHD16A,4,0.3395834715001763
O95881,TXNDC12,7,0.5394762056440393
O95989,NUDT3,3,0.3216587574959419
O96000,NDUFB10,10,0.7359961432901304
O96005,CLPTM1,0,NA
O96007,MOCS2,9,0.47935788147719277
O96008,TOMM40,10,0.45800342766660884
O96011,PEX11B,4,0.4623151880864134
O96033,MOCS2,7,0.4022556874008967
P00156,MT-CYB,0,NA
P00167,CYB5A,7,0.530409461640012
P00325,ADH1B,1,0.3829172953745028
P00326,ADH1C,1,0.5202269581235565
P00338,LDHA,0,NA
P00352,ALDH1A1,1,0.5983766482158392
P00367,GLUD1,9,0.5543355204955316
P00387,CYB5R3,1,0.6990073554271954
P00390,GSR,5,0.5579638188255855
P00395,MT-CO1,6,0.8163745177168805
P00403,MT-CO2,0,NA
P00414,MT-CO3,2,0.31129983176594733
P00441,SOD1,7,0.8146085133467684
P00491,PNP,5,0.8213015897790188
P00492,HPRT1,5,0.7272898786385135
P00505,GOT2,3,0.6883407179832143
P00558,PGK1,9,0.6599380258580253
P00568,AK1,9,0.6573347384523232
P00813,ADA,1,0.3687346800381139
P00846,MT-ATP6,3,0.36576958866212855
P00918,CA2,7,0.7452626373262392
P00966,ASS1,1,0.4435477956260477
P01023,A2M,5,0.8942875588111276
P01034,CST3,1,0.4454016313924304
P01112,HRAS,7,0.47299151268747375
P01889,HLA-B,1,0.4267546461434755
P01903,HLA-DRA,1,0.4122103310566056
P01911,HLA-DRB1,0,NA
P02144,MB,7,0.5828378197279429
P02452,COL1A1,2,0.5080871137966859
P02461,COL3A1,2,0.44060771821076994
P02462,COL4A1,2,0.7833467381001185
P02511,CRYAB,0,NA
P02545,LMNA,2,0.8155981577875278
P02585,TNNC2,2,0.8622059258009743
P02751,FN1,5,0.5755512556658262
P02786,TFRC,0,NA
P02792,FTL,1,0.48553747215088305
P02794,FTH1,0,NA
P03886,MT-ND1,0,NA
P03891,MT-ND2,9,0.6451764474118694
P03897,MT-ND3,0,NA
P03905,MT-ND4,2,0.472245155305297
P03915,MT-ND5,2,0.5260128142784533
P03928,MT-ATP8,0,NA
P03950,ANG,1,0.615992403889136
P04040,CAT,5,0.7345164168670761
P04049,RAF1,3,0.32293763549552473
P04075,ALDOA,0,NA
P04080,CSTB,0,NA
P04083,ANXA1,1,0.9364216543893085
P04156,PRNP,7,0.332400190218892
P04179,SOD2,0,NA
P04181,OAT,0,NA
P04216,THY1,1,0.7046951651849666
P04233,CD74,5,0.3641507539732467
P04350,TUBB4A,2,0.2990675278583065
P04406,GAPDH,9,0.5748395599551859
P04439,HLA-A,1,0.3387537865716553
P04632,CAPNS1,5,0.7019320735766911
P04792,HSPB1,0,NA
P04839,CYBB,1,0.6586864960566536
P04843,RPN1,8,0.6035866820705226
P04844,RPN2,2,0.4147217495645427
P04899,GNAI2,1,0.8090803294871989
P05023,ATP1A1,0,NA
P05026,ATP1B1,0,NA
P05091,ALDH2,1,0.6010772976799579
P05106,ITGB3,5,0.7301094672408817
P05114,HMGN1,1,0.48883539150769345
P05141,SLC25A5,0,NA
P05165,PCCA,3,0.5824849552647725
P05166,PCCB,3,0.45080976140632356
P05198,EIF2S1,4,0.4634626494422571
P05386,RPLP1,2,0.4329097383218233
P05387,RPLP2,2,0.47068075444731017
P05388,RPLP0,2,0.5261720603130683
P05413,FABP3,7,0.5847127654273514
P05455,SSB,1,0.3563559460327338
P05556,ITGB1,1,0.734161778971214
P05976,MYL1,2,0.8232237498342745
P06132,UROD,5,0.7702882397814511
P06213,INSR,0,NA
P06396,GSN,1,0.539539920860322
P06454,PTMA,1,0.5774788922411869
P06576,ATP5F1B,8,0.3906662739065529
P06703,S100A6,1,0.7154356742955764
P06730,EIF4E,0,NA
P06732,CKM,7,0.6957343556368247
P06733,ENO1,1,0.42192371401353496
P06737,PYGL,0,NA
P06744,GPI,0,NA
P06748,NPM1,2,0.38423782718162974
P06753,TPM3,2,0.8618946370122939
P06865,HEXA,0,NA
P07099,EPHX1,1,0.33956640597548254
P07108,DBI,0,NA
P07195,LDHB,5,0.5008716049774029
P07203,GPX1,5,0.5375084331863501
P07205,PGK2,0,NA
P07237,P4HB,1,0.5722139170488304
P07305,H1-0,2,0.756548452419257
P07311,ACYP1,0,NA
P07339,CTSD,7,0.8494677244166973
P07355,ANXA2,1,0.9384337518500163
P07384,CAPN1,5,0.42748329835687227
P07437,TUBB,1,0.3001672975505498
P07451,CA3,0,NA
P07585,DCN,1,0.8272015545538746
P07602,PSAP,1,0.5850406261592208
P07686,HEXB,1,0.497705509493882
P07711,CTSL,7,0.4036473470553477
P07737,PFN1,1,0.5450593537852122
P07738,BPGM,5,0.8462511134423313
P07741,APRT,0,NA
P07814,EPRS1,4,0.5451681886304289
P07858,CTSB,1,0.5692846236417527
P07900,HSP90AA1,0,NA
P07902,GALT,5,0.344363393015569
P07910,HNRNPC,2,0.6681291264607171
P07919,UQCRH,0,NA
P07942,LAMB1,2,0.7164297170858336
P07951,TPM2,2,0.8122082399648329
P07954,FH,3,0.4610416856097804
P07996,THBS1,5,0.7255355401848373
P08123,COL1A2,2,0.5408056081457752
P08133,ANXA6,1,0.3580416792083589
P08134,RHOC,1,0.5587830494753375
P08237,PFKM,4,0.6606194747456359
P08238,HSP90AB1,0,NA
P08240,SRPRA,2,0.32660088876251975
P08294,SOD3,1,0.6346118653573491
P08397,HMBS,5,0.7646083091737288
P08473,MME,0,NA
P08559,PDHA1,3,0.6983246606259652
P08572,COL4A2,2,0.7348116133068137
P08574,CYC1,3,0.5194363467992171
P08579,SNRPB2,0,NA
P08590,MYL3,2,0.8619025703512854
P08621,SNRNP70,0,NA
P08651,NFIC,2,0.36033090283428465
P08670,VIM,1,0.7947997724642873
P08708,RPS17,8,0.7307379367840942
P08754,GNAI3,1,0.38086847627061793
P08758,ANXA5,7,0.8059493870924137
P08865,RPSA,8,0.735742713715904
P08962,CD63,1,0.44530915278895006
P09012,SNRPA,0,NA
P09104,ENO2,5,0.5970321987944618
P09110,ACAA1,0,NA
P09211,GSTP1,7,0.8607876560340351
P09382,LGALS1,2,0.5201833908787561
P09417,QDPR,0,NA
P09429,HMGB1,6,0.4004943811952508
P09455,RBP1,0,NA
P09486,SPARC,1,0.48539853863265225
P09488,GSTM1,0,NA
P09493,TPM1,2,0.8106032956081044
P09496,CLTA,1,0.6324495931890542
P09497,CLTB,1,0.35620876297823656
P09525,ANXA4,1,0.7220360826118839
P09543,CNP,1,0.351722546882906
P09601,HMOX1,0,NA
P09622,DLD,4,0.6875585140343698
P09651,HNRNPA1,2,0.5241374244764854
P09669,COX6C,6,0.5442349192479248
P09874,PARP1,8,0.8076478011797683
P09936,UCHL1,1,0.34558224842500707
P09960,LTA4H,6,0.29759428271536376
P09972,ALDOC,1,0.42011357867932897
P0C7P0,CISD3,0,NA
P0C870,JMJD7,0,NA
P0DJ93,SMIM13,0,NA
P10109,FDX1,3,0.38732082704936965
P10155,RO60,0,NA
P10176,COX8A,0,NA
P10253,GAA,3,0.4605666592869109
P10301,RRAS,1,0.66050072327244
P10321,HLA-C,0,NA
P10398,ARAF,4,0.4572952449080503
P10412,H1-4,2,0.6183181900092471
P10415,BCL2,9,0.44750553013749017
P10515,DLAT,3,0.6135365489060778
P10599,TXN,7,0.7123023869010268
P10606,COX5B,10,0.6065840286485494
P10619,CTSA,1,0.49477416218194153
P10620,MGST1,1,0.7120712666274802
P10636,MAPT,7,0.40438625383433785
P10644,PRKAR1A,4,0.45067091742168336
P10746,UROS,5,0.4715279794403532
P10768,ESD,5,0.36464750313209265
P10809,HSPD1,3,0.3769073251013983
P10916,MYL2,2,0.7700475139663312
P11021,HSPA5,1,0.7019192514083662
P11047,LAMC1,2,0.8014401141552813
P11055,MYH3,0,NA
P11142,HSPA8,2,0.3606534007108918
P11166,SLC2A1,5,0.7855349774472415
P11171,EPB41,5,0.8170652071862948
P11177,PDHB,2,0.2934818089147143
P11182,DBT,0,NA
P11216,PYGB,9,0.5105598520335368
P11217,PYGM,4,0.484900450644956
P11233,RALA,2,0.3559003369024804
P11234,RALB,1,0.36445997021732046
P11277,SPTB,5,0.7896494800797945
P11279,LAMP1,1,0.6491773510267165
P11310,ACADM,3,0.36616919442426754
P11413,G6PD,1,0.519881075334238
P11441,UBL4A,7,0.39283925133706965
P11498,PC,1,0.42805589649461734
P11532,DMD,2,0.7714601104435419
P11586,MTHFD1,1,0.4905660443338532
P11717,IGF2R,0,NA
P11766,ADH5,0,NA
P11940,PABPC1,1,0.6380004638380072
P12004,PCNA,0,NA
P12081,HARS1;HARS,0,NA
P12109,COL6A1,2,0.6948311939455549
P12110,COL6A2,2,0.6580842274938136
P12111,COL6A3,2,0.6979323837958207
P12235,SLC25A4,10,0.6272396200635861
P12236,SLC25A6,0,NA
P12268,IMPDH2,6,0.43698398727708904
P12270,TPR,0,NA
P12277,CKB,0,NA
P12429,ANXA3,7,0.5767361267548998
P12532,CKMT1A,0,NA
P12694,BCKDHA,0,NA
P12814,ACTN1,2,0.40357140178865314
P12821,ACE,0,NA
P12829,MYL4,2,0.732428226074104
P12882,MYH1,2,0.7852682247266307
P12883,MYH7,2,0.8792175503539301
P12955,PEPD,0,NA
P12956,XRCC6,1,0.6022547802554399
P13010,XRCC5,1,0.3341570319335238
P13073,COX4I1,10,0.6327814013857355
P13473,LAMP2,0,NA
P13489,RNH1,1,0.4723188280874584
P13533,MYH6,2,0.35548974407010075
P13535,MYH8,2,0.5743772100276465
P13611,VCAN,1,0.5932146030263362
P13639,EEF2,0,NA
P13667,PDIA4,1,0.5653371297615448
P13674,P4HA1,0,NA
P13693,TPT1,0,NA
P13716,ALAD,5,0.8259203352859856
P13797,PLS3,1,0.8003265966800973
P13798,APEH,5,0.5895469860331685
P13804,ETFA,3,0.38388848268264547
P13805,TNNT1,2,0.8691418762749666
P13807,GYS1,3,0.6180207043843352
P13861,PRKAR2A,5,0.34286263260927174
P13929,ENO3,9,0.7333812389119295
P13987,CD59,1,0.30802807904043117
P14174,MIF,1,0.3400855479945182
P14209,CD99,1,0.6538050586256896
P14314,PRKCSH,1,0.502935066455349
P14324,FDPS,0,NA
P14406,COX7A2,0,NA
P14543,NID1,2,0.7109274572412391
P14550,AKR1A1,1,0.5838159188220065
P14618,PKM,9,0.6904775705671079
P14621,ACYP2,6,0.34812507359523764
P14625,HSP90B1,1,0.7037949903691334
P14649,MYL6B,2,0.8249907299909294
P14672,SLC2A4,0,NA
P14735,IDE,6,0.33090358566938693
P14854,COX6B1,10,0.5989810585861383
P14866,HNRNPL,2,0.562821856040385
P14868,DARS1,3,0.43272108862656294
P14927,UQCRB,8,0.5028481885071076
P15088,CPA3,1,0.540989376726527
P15090,FABP4,1,0.7921586855872206
P15104,GLUL,0,NA
P15121,AKR1B1,6,0.5388291470962735
P15170,GSPT1,7,0.3055567886610707
P15259,PGAM2,9,0.5948979951338382
P15311,EZR,0,NA
P15374,UCHL3,0,NA
P15531,NME1,5,0.5951572265638615
P15880,RPS2,8,0.7901203604991319
P15927,RPA2,7,0.530882222687864
P15954,COX7C,0,NA
P16070,CD44,1,0.7334513588434562
P16083,NQO2,7,0.7920047311182344
P16118,PFKFB1,3,0.6398340185187074
P16152,CBR1,1,0.31830910780713284
P16157,ANK1,5,0.8314212333282641
P16219,ACADS,6,0.473266156736465
P16284,PECAM1,1,0.529656110474014
P16298,PPP3CB,4,0.5226739056593973
P16333,NCK1,0,NA
P16401,H1-5,2,0.31958859847381227
P16435,POR,1,0.4151171819640294
P16615,ATP2A2,4,0.37690900618445644
P16671,CD36,1,0.4858361898644643
P16930,FAH,1,0.4935553663679854
P16949,STMN1,0,NA
P16989,YBX3,6,0.5901282255899349
P17152,TMEM11,10,0.6098507776934496
P17174,GOT1,6,0.4832814143197851
P17540,CKMT2,3,0.8009283676990027
P17568,NDUFB7,10,0.6617411075004276
P17612,PRKACA,4,0.3469512900797898
P17655,CAPN2,1,0.4947703562050161
P17661,DES,2,0.848486777423715
P17812,CTPS1,0,NA
P17813,ENG,1,0.30699836776914713
P17858,PFKL,5,0.3220318751392876
P17931,LGALS3,1,0.712802447901857
P17936,IGFBP3,5,0.6768095767226272
P17980,PSMC3,1,0.4342575326649206
P17987,TCP1,0,NA
P18031,PTPN1,0,NA
P18077,RPL35A,2,0.32172146497403237
P18085,ARF4,1,0.308391172524995
P18124,RPL7,2,0.6126055154553272
P18206,VCL,1,0.6507881116603834
P18621,RPL17,8,0.7581688620147319
P18669,PGAM1,1,0.37640222971229864
P18754,RCC1,2,0.39541262935748583
P18859,ATP5PF,0,NA
P19237,TNNI1,2,0.8195922750090319
P19256,CD58,0,NA
P19338,NCL,1,0.46345880535846445
P19367,HK1,3,0.638739058268245
P19404,NDUFV2,10,0.662270229014088
P19623,SRM,7,0.4793033476339763
P19823,ITIH2,5,0.7773616809980621
P19838,NFKB1,1,0.35667596779139604
P19971,TYMP,1,0.6034663945941013
P20020,ATP2B1,0,NA
P20042,EIF2S2,2,0.38792394990284584
P20073,ANXA7,5,0.42319484811389074
P20290,BTF3,2,0.30689875823914153
P20339,RAB5A,0,NA
P20340,RAB6A,0,NA
P20472,PVALB,0,NA
P20618,PSMB1,0,NA
P20674,COX5A,10,0.5264302030951805
P20774,OGN,1,0.7158599902004524
P20807,CAPN3,8,0.7568758341285046
P20810,CAST,5,0.7119879715112382
P20929,NEB,2,0.9229352179079151
P20962,PTMS,1,0.5918757199293279
P21266,GSTM3,6,0.4040862790304342
P21281,ATP6V1B2,5,0.4071863128610447
P21291,CSRP1,1,0.6399411231395133
P21333,FLNA,1,0.7545380629197752
P21397,MAOA,1,0.44254934385646594
P21399,ACO1,5,0.5551230476900688
P21589,NT5E,1,0.7556335981713995
P21695,GPD1,1,0.47512604402237696
P21796,VDAC1,10,0.6143881040910112
P21810,BGN,1,0.5983129556228134
P21817,RYR1,4,0.6411891866236024
P21912,SDHB,3,0.5116929277900215
P21926,CD9,1,0.8020729813543074
P21953,BCKDHB,0,NA
P21964,COMT,9,0.5187885608980408
P21980,TGM2,2,0.38790178693026717
