set_id,database,pathway,genes,nes_x,nes_y,padj_x,padj_y,significance
Hallmark|HALLMARK_FATTY_ACID_METABOLISM,Hallmark,HALLMARK_FATTY_ACID_METABOLISM,100,2.146,1.53,6.578e-6,0.05333,BFR_Post-Pre
Hallmark|HALLMARK_MYOGENESIS,Hallmark,HALLMARK_MYOGENESIS,117,-1.96,-1.406,3.693e-4,0.1141,BFR_Post-Pre
GO_Slim|AMINO_ACID_METABOLIC_PROCESS,GO_Slim,amino acid metabolic process,123,1.945,1.284,2.546e-4,0.2484,BFR_Post-Pre
Hallmark|HALLMARK_G2M_CHECKPOINT,Hallmark,HALLMARK_G2M_CHECKPOINT,40,-1.733,-1.414,0.0335,0.1982,BFR_Post-Pre
GO_Slim|MICROTUBULE_BASED_MOVEMENT,GO_Slim,microtubule-based movement,87,-1.738,-1.397,0.005726,0.1525,BFR_Post-Pre
GO_Slim|TRNA_METABOLIC_PROCESS,GO_Slim,tRNA metabolic process,65,1.649,1.483,0.0364,0.1003,BFR_Post-Pre
GO_Slim|MITOTIC_CELL_CYCLE,GO_Slim,mitotic cell cycle,194,-1.772,-1.325,4.206e-4,0.1283,BFR_Post-Pre
GO_Slim|NERVOUS_SYSTEM_PROCESS,GO_Slim,nervous system process,169,-1.751,-1.31,8.33e-4,0.1359,BFR_Post-Pre
Hallmark|HALLMARK_KRAS_SIGNALING_DN,Hallmark,HALLMARK_KRAS_SIGNALING_DN,17,-1.762,-1.19,0.04605,0.5141,BFR_Post-Pre
Hallmark|HALLMARK_ADIPOGENESIS,Hallmark,HALLMARK_ADIPOGENESIS,118,1.616,1.323,0.01556,0.1754,BFR_Post-Pre
GO_Slim|CIRCULATORY_SYSTEM_PROCESS,GO_Slim,circulatory system process,138,-1.666,-1.261,0.005142,0.242,BFR_Post-Pre
GO_Slim|SULFUR_COMPOUND_METABOLIC_PROCESS,GO_Slim,sulfur compound metabolic process,114,1.736,1.161,0.00237,0.4473,BFR_Post-Pre
GO_Slim|PROTEIN_MATURATION,GO_Slim,protein maturation,207,1.465,1.337,0.02782,0.1178,BFR_Post-Pre
GO_Slim|LIPID_METABOLIC_PROCESS,GO_Slim,lipid metabolic process,316,1.35,1.029,0.03291,0.6659,BFR_Post-Pre
Hallmark|HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,HALLMARK_OXIDATIVE_PHOSPHORYLATION,174,2.971,2.846,5.436e-22,1.62e-19,Both
GO_Slim|MITOCHONDRIAL_GENE_EXPRESSION,GO_Slim,mitochondrial gene expression,96,2.775,2.846,6.397e-12,9.91e-16,Both
GO_Slim|GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,GO_Slim,generation of precursor metabolites and energy,264,2.435,2.539,1.175e-14,5.461e-18,Both
GO_Slim|MITOCHONDRION_ORGANIZATION,GO_Slim,mitochondrion organization,200,2.232,2.243,7.225e-9,1.622e-9,Both
GO_Slim|DNA_REPAIR,GO_Slim,DNA repair,100,-1.99,-1.649,2.063e-4,0.01198,Both
GO_Slim|MUSCLE_SYSTEM_PROCESS,GO_Slim,muscle system process,218,-2.077,-1.46,1.917e-7,0.02325,Both
