database,pathway,set_id,treatment,n,rho,p,padj
Hallmark,HALLMARK_ALLOGRAFT_REJECTION,Hallmark|HALLMARK_ALLOGRAFT_REJECTION,HLRT,33,-0.18382352941176472,0.3058219532868942,0.6498716507346503
Hallmark,HALLMARK_ALLOGRAFT_REJECTION,Hallmark|HALLMARK_ALLOGRAFT_REJECTION,BFR,32,-0.3024193548387097,0.09250455649815871,0.9809807451471845
Hallmark,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark|HALLMARK_OXIDATIVE_PHOSPHORYLATION,HLRT,33,0.2540106951871658,0.15374266820273463,0.568179425966628
Hallmark,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark|HALLMARK_OXIDATIVE_PHOSPHORYLATION,BFR,32,0.02126099706744868,0.9080502863308837,0.9895419786939116
Hallmark,HALLMARK_SPERMATOGENESIS,Hallmark|HALLMARK_SPERMATOGENESIS,HLRT,33,-0.011697860962566845,0.9484844405922174,0.9687033420833517
Hallmark,HALLMARK_SPERMATOGENESIS,Hallmark|HALLMARK_SPERMATOGENESIS,BFR,32,-0.08760997067448681,0.6335062181554585,0.9809807451471845
Reactome,REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,Reactome|REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,HLRT,33,0.14171122994652408,0.43147971323820355,0.7335155125049461
Reactome,REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,Reactome|REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,BFR,32,0.05535190615835777,0.7634978368884072,0.9809807451471845
Reactome,REACTOME_CHROMATIN_ORGANIZATION,Reactome|REACTOME_CHROMATIN_ORGANIZATION,HLRT,33,0.17647058823529413,0.32590468241208925,0.6595690001197044
Reactome,REACTOME_CHROMATIN_ORGANIZATION,Reactome|REACTOME_CHROMATIN_ORGANIZATION,BFR,32,0.031158357771260994,0.865571245718104,0.9809807451471845
Reactome,REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE,Reactome|REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE,HLRT,33,0.28342245989304815,0.10996950313226694,0.5193004314579273
Reactome,REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE,Reactome|REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE,BFR,32,0.16092375366568915,0.37893593799187786,0.9809807451471845
Reactome,REACTOME_COMPLEX_III_ASSEMBLY,Reactome|REACTOME_COMPLEX_III_ASSEMBLY,HLRT,33,0.24030748663101603,0.1779576562655729,0.594070163745672
Reactome,REACTOME_COMPLEX_III_ASSEMBLY,Reactome|REACTOME_COMPLEX_III_ASSEMBLY,BFR,32,0.125366568914956,0.49418361415392986,0.9809807451471845
Reactome,REACTOME_COMPLEX_IV_ASSEMBLY,Reactome|REACTOME_COMPLEX_IV_ASSEMBLY,HLRT,33,-0.05949197860962567,0.7422544505521216,0.955933762074702
Reactome,REACTOME_COMPLEX_IV_ASSEMBLY,Reactome|REACTOME_COMPLEX_IV_ASSEMBLY,BFR,32,0.0531524926686217,0.7726445452531768,0.9809807451471845
Reactome,REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION,Reactome|REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION,HLRT,33,0.26504010695187163,0.13605647462351717,0.5256727428635891
Reactome,REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION,Reactome|REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION,BFR,32,-0.001099706744868035,0.9952339710589633,0.9952339710589633
Reactome,REACTOME_MITOCHONDRIAL_TRANSLATION,Reactome|REACTOME_MITOCHONDRIAL_TRANSLATION,HLRT,33,0.2322860962566845,0.19332422174169764,0.5969389280050014
Reactome,REACTOME_MITOCHONDRIAL_TRANSLATION,Reactome|REACTOME_MITOCHONDRIAL_TRANSLATION,BFR,32,0.06488269794721407,0.7242373690376971,0.9809807451471845
Reactome,REACTOME_PROTEIN_LOCALIZATION,Reactome|REACTOME_PROTEIN_LOCALIZATION,HLRT,33,0.04578877005347594,0.8002475072362792,0.9574562713286752
Reactome,REACTOME_PROTEIN_LOCALIZATION,Reactome|REACTOME_PROTEIN_LOCALIZATION,BFR,32,0.03665689149560117,0.8421224928098059,0.9809807451471845
Reactome,REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF,Reactome|REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF,HLRT,33,0.4037433155080214,0.019802019514531356,0.22881523033929776
Reactome,REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF,Reactome|REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF,BFR,32,0.08394428152492668,0.6478324222371901,0.9809807451471845
Reactome,REACTOME_SIGNALING_BY_RETINOIC_ACID,Reactome|REACTOME_SIGNALING_BY_RETINOIC_ACID,HLRT,33,-0.01537433155080214,0.9323263794090122,0.9664358810947078
Reactome,REACTOME_SIGNALING_BY_RETINOIC_ACID,Reactome|REACTOME_SIGNALING_BY_RETINOIC_ACID,BFR,32,0.042888563049853376,0.8157079973517641,0.9809807451471845
Reactome,REACTOME_TRNA_AMINOACYLATION,Reactome|REACTOME_TRNA_AMINOACYLATION,HLRT,33,0.45287433155080214,0.008133301734753427,0.19160058592159074
Reactome,REACTOME_TRNA_AMINOACYLATION,Reactome|REACTOME_TRNA_AMINOACYLATION,BFR,32,0.2716275659824047,0.13261689293546475,0.9809807451471845
GOBP,GOBP_ACETYL_COA_METABOLIC_PROCESS,GOBP|GOBP_ACETYL_COA_METABOLIC_PROCESS,HLRT,33,0.21356951871657753,0.23271793505045701,0.6181570149777764
GOBP,GOBP_ACETYL_COA_METABOLIC_PROCESS,GOBP|GOBP_ACETYL_COA_METABOLIC_PROCESS,BFR,32,0.04435483870967742,0.8095204829126814,0.9809807451471845
GOBP,GOBP_ACYL_COA_METABOLIC_PROCESS,GOBP|GOBP_ACYL_COA_METABOLIC_PROCESS,HLRT,33,0.08221925133689839,0.6492002448128054,0.8795100430440279
GOBP,GOBP_ACYL_COA_METABOLIC_PROCESS,GOBP|GOBP_ACYL_COA_METABOLIC_PROCESS,BFR,32,0.056818181818181816,0.7574173060509464,0.9809807451471845
GOBP,GOBP_AMIDE_BIOSYNTHETIC_PROCESS,GOBP|GOBP_AMIDE_BIOSYNTHETIC_PROCESS,HLRT,33,0.2306149732620321,0.19663870569576516,0.5969389280050014
GOBP,GOBP_AMIDE_BIOSYNTHETIC_PROCESS,GOBP|GOBP_AMIDE_BIOSYNTHETIC_PROCESS,BFR,32,0.08321114369501466,0.6507127872900168,0.9809807451471845
GOBP,GOBP_AMINO_ACID_METABOLIC_PROCESS,GOBP|GOBP_AMINO_ACID_METABOLIC_PROCESS,HLRT,33,0.481951871657754,0.004510444149839419,0.19160058592159074
GOBP,GOBP_AMINO_ACID_METABOLIC_PROCESS,GOBP|GOBP_AMINO_ACID_METABOLIC_PROCESS,BFR,32,0.1125366568914956,0.539725166205034,0.9809807451471845
GOBP,GOBP_AMYLOID_FIBRIL_FORMATION,GOBP|GOBP_AMYLOID_FIBRIL_FORMATION,HLRT,33,0.12901069518716576,0.47427992651165907,0.748370458337129
GOBP,GOBP_AMYLOID_FIBRIL_FORMATION,GOBP|GOBP_AMYLOID_FIBRIL_FORMATION,BFR,32,-0.17485337243401758,0.33848234127694987,0.9809807451471845
GOBP,GOBP_AUTOPHAGOSOME_MATURATION,GOBP|GOBP_AUTOPHAGOSOME_MATURATION,HLRT,33,-0.04044117647058824,0.823185021965642,0.9574562713286752
GOBP,GOBP_AUTOPHAGOSOME_MATURATION,GOBP|GOBP_AUTOPHAGOSOME_MATURATION,BFR,32,0.07514662756598241,0.682716086693602,0.9809807451471845
GOBP,GOBP_BRANCHED_CHAIN_AMINO_ACID_METABOLIC_PROCESS,GOBP|GOBP_BRANCHED_CHAIN_AMINO_ACID_METABOLIC_PROCESS,HLRT,33,0.36530748663101603,0.036574694767069184,0.28262264138189824
GOBP,GOBP_BRANCHED_CHAIN_AMINO_ACID_METABOLIC_PROCESS,GOBP|GOBP_BRANCHED_CHAIN_AMINO_ACID_METABOLIC_PROCESS,BFR,32,0.09897360703812316,0.5899350180318629,0.9809807451471845
GOBP,GOBP_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION,GOBP|GOBP_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION,HLRT,33,-0.33322192513368987,0.058096998905789204,0.3798649928455448
GOBP,GOBP_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION,GOBP|GOBP_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION,BFR,32,-0.1898826979472141,0.29791684371643334,0.9809807451471845
GOBP,GOBP_CARBOXYLIC_ACID_TRANSMEMBRANE_TRANSPORT,GOBP|GOBP_CARBOXYLIC_ACID_TRANSMEMBRANE_TRANSPORT,HLRT,33,0.3987299465240642,0.021535551090757436,0.22881523033929776
GOBP,GOBP_CARBOXYLIC_ACID_TRANSMEMBRANE_TRANSPORT,GOBP|GOBP_CARBOXYLIC_ACID_TRANSMEMBRANE_TRANSPORT,BFR,32,0.007331378299120234,0.9682342625092057,0.9952339710589633
GOBP,GOBP_CYTOCHROME_COMPLEX_ASSEMBLY,GOBP|GOBP_CYTOCHROME_COMPLEX_ASSEMBLY,HLRT,33,0.08155080213903744,0.6518721495502795,0.8795100430440279
GOBP,GOBP_CYTOCHROME_COMPLEX_ASSEMBLY,GOBP|GOBP_CYTOCHROME_COMPLEX_ASSEMBLY,BFR,32,0.12316715542521993,0.5018495355231954,0.9809807451471845
GOBP,GOBP_DEVELOPMENTAL_CELL_GROWTH,GOBP|GOBP_DEVELOPMENTAL_CELL_GROWTH,HLRT,33,0.15274064171122995,0.3961086670909033,0.7335155125049461
GOBP,GOBP_DEVELOPMENTAL_CELL_GROWTH,GOBP|GOBP_DEVELOPMENTAL_CELL_GROWTH,BFR,32,0.07111436950146627,0.6989274391699132,0.9809807451471845
GOBP,GOBP_DEVELOPMENTAL_MATURATION,GOBP|GOBP_DEVELOPMENTAL_MATURATION,HLRT,33,0.027406417112299464,0.8796636910411234,0.9574562713286752
