contrast,pathway,diego_90:fry,diego_90:camera,diego_90:fgsea,diego_91:ssGSEA_limma,dustyn_pr11_fgsea:fgsea,dustyn_pr11_fry:fry,dustyn_pr15_fgsea:fgsea,matheus_pr13:camera,matheus_pr13:fry
BFR_post_vs_pre,PI3K_AKT_MTOR_SIGNALING,0.98,0.95,-0.89,0.79,-0.9,0.98,-0.93,0.95,0.98
BFR_post_vs_pre,MITOTIC_SPINDLE,-0.98,0.95,0.88,-0.87,0.9,-0.98,0.9,0.95,-0.98
BFR_post_vs_pre,UNFOLDED_PROTEIN_RESPONSE,-0.98,0.95,0.98,-0.79,0.98,-0.98,0.99,0.95,-0.98
HLRT_post_vs_pre,SPERMATOGENESIS,-1.3e-5,-0.096,-0.039,-0.013,-0.05,-1.3e-5,-0.046,-0.096,-1.3e-5
HLRT_post_vs_pre,OXIDATIVE_PHOSPHORYLATION,2.1e-5,1.7e-12,1.5e-21,0.013,1.0000000000000001e-21,2.1e-5,6.6e-21,1.7e-12,2.1e-5
HLRT_post_vs_pre,G2M_CHECKPOINT,-0.011,-0.18,-0.14,-0.081,-0.23,-0.011,-0.21,-0.18,-0.011
HLRT_post_vs_pre,APICAL_JUNCTION,0.031,0.073,0.018,0.28,0.018,0.031,0.016,0.073,0.031
HLRT_post_vs_pre,ALLOGRAFT_REJECTION,0.047,0.4,0.24,0.044,0.3,0.047,0.29,0.4,0.047
HLRT_post_vs_pre,KRAS_SIGNALING_DN,-0.082,-0.43,-0.46,-0.78,-0.47,-0.082,-0.43,-0.43,-0.082
HLRT_post_vs_pre,FATTY_ACID_METABOLISM,0.082,0.18,0.051,0.51,0.079,0.082,0.064,0.18,0.082
HLRT_post_vs_pre,TNFA_SIGNALING_VIA_NFKB,0.082,0.53,0.45,0.78,0.4,0.082,0.43,0.56,0.082
HLRT_post_vs_pre,ADIPOGENESIS,0.082,0.4,0.24,-0.95,0.23,0.082,0.21,0.4,0.082
HLRT_post_vs_pre,INTERFERON_GAMMA_RESPONSE,0.082,0.43,0.28,0.74,0.32,0.082,0.35,0.43,0.082
HLRT_post_vs_pre,COAGULATION,0.082,0.18,0.087,0.25,0.099,0.082,0.064,0.18,0.082
HLRT_post_vs_pre,UV_RESPONSE_UP,-0.082,-0.58,-0.64,-0.74,-0.72,-0.082,-0.66,-0.58,-0.082
HLRT_post_vs_pre,BILE_ACID_METABOLISM,-0.12,-0.53,-0.51,-0.45,-0.52,-0.12,-0.55,-0.56,-0.12
HLRT_post_vs_pre,INTERFERON_ALPHA_RESPONSE,0.18,0.51,0.57,0.74,0.52,0.18,0.55,0.51,0.18
HLRT_post_vs_pre,ESTROGEN_RESPONSE_LATE,0.18,0.53,0.31,-0.9,0.36,0.18,0.38,0.57,0.19
HLRT_post_vs_pre,E2F_TARGETS,-0.19,-0.58,-0.31,-0.34,-0.4,-0.19,-0.38,-0.58,-0.19
HLRT_post_vs_pre,MYOGENESIS,-0.19,-0.18,-0.091,-0.34,-0.14,-0.19,-0.11,-0.18,-0.19
HLRT_post_vs_pre,MITOTIC_SPINDLE,0.19,0.43,0.051,0.74,0.05,0.19,0.064,0.43,0.19
HLRT_post_vs_pre,UNFOLDED_PROTEIN_RESPONSE,0.19,0.53,0.51,0.16,0.5,0.19,0.55,0.56,0.19
HLRT_post_vs_pre,KRAS_SIGNALING_UP,0.2,0.53,0.42,0.19,0.4,0.2,0.41,0.56,0.2
HLRT_post_vs_pre,ANDROGEN_RESPONSE,-0.24,-0.68,-0.91,-0.52,-0.91,-0.24,-0.9,-0.68,-0.24
HLRT_post_vs_pre,PROTEIN_SECRETION,-0.27,-0.59,-0.77,-0.67,-0.81,-0.27,-0.74,-0.59,-0.27
HLRT_post_vs_pre,HEME_METABOLISM,-0.29,-0.43,-0.36,-0.14,-0.4,-0.29,-0.39,-0.43,-0.29
HLRT_post_vs_pre,APOPTOSIS,0.38,0.58,0.42,0.75,0.4,0.38,0.42,0.58,0.38
HLRT_post_vs_pre,HYPOXIA,0.38,0.53,0.42,0.95,0.43,0.38,0.42,0.56,0.38
HLRT_post_vs_pre,INFLAMMATORY_RESPONSE,0.39,0.84,0.63,0.9,0.61,0.39,0.61,0.84,0.39
HLRT_post_vs_pre,PEROXISOME,0.48,0.74,0.51,0.95,0.5,0.48,0.55,0.74,0.48
HLRT_post_vs_pre,EPITHELIAL_MESENCHYMAL_TRANSITION,0.5,0.43,0.14,0.95,0.15,0.5,0.11,0.43,0.5
HLRT_post_vs_pre,IL2_STAT5_SIGNALING,0.5,0.63,0.62,0.95,0.54,0.5,0.61,0.63,0.5
HLRT_post_vs_pre,PI3K_AKT_MTOR_SIGNALING,-0.55,-0.84,-0.91,0.9,-0.91,-0.55,-0.9,-0.84,-0.55
HLRT_post_vs_pre,MTORC1_SIGNALING,-0.62,-0.84,-0.66,-0.89,-0.72,-0.62,-0.66,-0.84,-0.62
HLRT_post_vs_pre,DNA_REPAIR,-0.62,-0.87,-0.91,-0.74,-0.91,-0.62,-0.9,-0.87,-0.62
HLRT_post_vs_pre,REACTIVE_OXYGEN_SPECIES_PATHWAY,-0.65,-0.87,0.91,-0.78,0.91,-0.65,0.9,-0.87,-0.65
HLRT_post_vs_pre,UV_RESPONSE_DN,-0.65,-0.87,-0.94,-0.78,-0.94,-0.65,-0.93,-0.87,-0.65
HLRT_post_vs_pre,ESTROGEN_RESPONSE_EARLY,0.81,0.87,0.65,-0.95,0.63,0.81,0.61,0.87,0.81
HLRT_post_vs_pre,GLYCOLYSIS,0.87,0.87,-0.72,-0.67,-0.79,0.87,-0.74,0.87,0.87
HLRT_post_vs_pre,COMPLEMENT,0.87,0.87,0.51,0.9,0.5,0.87,0.55,0.87,0.87
HLRT_post_vs_pre,XENOBIOTIC_METABOLISM,-0.87,-0.96,0.9,-0.89,0.89,-0.87,0.9,-0.96,-0.87
HLRT_post_vs_pre,P53_PATHWAY,0.93,0.95,0.9,0.78,0.89,0.93,0.9,0.95,0.93
HLRT_post_vs_pre,CHOLESTEROL_HOMEOSTASIS,-0.94,0.98,-0.91,0.9,-0.91,-0.94,-0.9,0.98,-0.94
HLRT_post_vs_pre,MYC_TARGETS_V1,-0.98,0.96,0.98,0.95,0.99,-0.98,0.98,0.96,-0.98
BFR_vs_HLRT_at_T2,BILE_ACID_METABOLISM,0.11,0.017,0.012,0.56,0.0092,0.11,0.0089,NA,NA
BFR_vs_HLRT_at_T2,TNFA_SIGNALING_VIA_NFKB,-0.24,-0.16,-0.26,-0.59,-0.22,-0.24,-0.29,NA,NA
BFR_vs_HLRT_at_T2,MYOGENESIS,-0.58,-0.016,-2.9e-4,-0.59,-4.5e-4,-0.58,-8.5e-4,NA,NA
BFR_vs_HLRT_at_T2,PEROXISOME,0.58,0.23,0.23,0.75,0.29,0.58,0.33,NA,NA
BFR_vs_HLRT_at_T2,INFLAMMATORY_RESPONSE,-0.58,-0.49,-0.46,-0.59,-0.47,-0.58,-0.49,NA,NA
BFR_vs_HLRT_at_T2,FATTY_ACID_METABOLISM,0.58,0.032,0.018,0.62,0.012,0.58,0.011,NA,NA
BFR_vs_HLRT_at_T2,APICAL_JUNCTION,-0.64,-0.13,-0.016,-0.59,-0.012,-0.64,-0.015,NA,NA
BFR_vs_HLRT_at_T2,MITOTIC_SPINDLE,-0.64,-0.26,-0.23,-0.59,-0.22,-0.64,-0.26,NA,NA
BFR_vs_HLRT_at_T2,UV_RESPONSE_DN,-0.64,-0.49,-0.46,-0.59,-0.46,-0.64,-0.49,NA,NA
BFR_vs_HLRT_at_T2,EPITHELIAL_MESENCHYMAL_TRANSITION,-0.64,-0.017,-0.0025,-0.59,-0.0039,-0.64,-0.0089,NA,NA
BFR_vs_HLRT_at_T2,MYC_TARGETS_V1,-0.64,-0.52,-0.23,-0.59,-0.22,-0.64,-0.26,NA,NA
BFR_vs_HLRT_at_T2,KRAS_SIGNALING_DN,-0.65,-0.52,-0.5,-0.59,-0.51,-0.65,-0.53,NA,NA
BFR_vs_HLRT_at_T2,ADIPOGENESIS,0.65,0.26,0.072,0.59,0.11,0.65,0.079,NA,NA
BFR_vs_HLRT_at_T2,APOPTOSIS,-0.65,-0.49,-0.5,-0.75,-0.51,-0.65,-0.53,NA,NA
BFR_vs_HLRT_at_T2,ESTROGEN_RESPONSE_EARLY,-0.69,-0.7,-0.46,-0.75,-0.46,-0.69,-0.49,NA,NA
BFR_vs_HLRT_at_T2,ESTROGEN_RESPONSE_LATE,0.69,0.52,0.27,0.63,0.36,0.69,0.39,NA,NA
BFR_vs_HLRT_at_T2,UV_RESPONSE_UP,0.69,0.6,0.46,0.59,0.51,0.69,0.53,NA,NA
BFR_vs_HLRT_at_T2,UNFOLDED_PROTEIN_RESPONSE,-0.69,-0.7,-0.66,-0.59,-0.66,-0.69,-0.69,NA,NA
BFR_vs_HLRT_at_T2,ALLOGRAFT_REJECTION,-0.69,-0.72,-0.71,-0.59,-0.71,-0.69,-0.73,NA,NA
BFR_vs_HLRT_at_T2,CHOLESTEROL_HOMEOSTASIS,0.69,0.49,0.23,0.62,0.22,0.69,0.27,NA,NA
BFR_vs_HLRT_at_T2,PROTEIN_SECRETION,0.69,0.49,0.5,0.59,0.51,0.69,0.53,NA,NA
BFR_vs_HLRT_at_T2,XENOBIOTIC_METABOLISM,0.7,0.49,0.56,0.71,0.56,0.7,0.55,NA,NA
BFR_vs_HLRT_at_T2,DNA_REPAIR,0.71,0.52,0.67,0.59,0.68,0.71,0.68,NA,NA
BFR_vs_HLRT_at_T2,GLYCOLYSIS,0.82,0.49,0.23,0.59,0.22,0.82,0.26,NA,NA
BFR_vs_HLRT_at_T2,PI3K_AKT_MTOR_SIGNALING,-0.82,-0.79,-0.69,-0.75,-0.68,-0.82,-0.73,NA,NA
BFR_vs_HLRT_at_T2,KRAS_SIGNALING_UP,0.84,0.7,0.71,-0.93,0.71,0.84,0.73,NA,NA
BFR_vs_HLRT_at_T2,COAGULATION,-0.84,-0.75,-0.71,-0.91,-0.71,-0.84,-0.73,NA,NA
BFR_vs_HLRT_at_T2,SPERMATOGENESIS,0.84,0.76,0.51,0.71,0.51,0.84,0.53,NA,NA
BFR_vs_HLRT_at_T2,COMPLEMENT,-0.84,-0.81,-0.66,0.91,-0.66,-0.84,-0.69,NA,NA
BFR_vs_HLRT_at_T2,OXIDATIVE_PHOSPHORYLATION,0.84,0.49,0.23,0.96,0.22,0.84,0.25,NA,NA
BFR_vs_HLRT_at_T2,HEME_METABOLISM,0.84,0.52,0.47,0.81,0.49,0.84,0.53,NA,NA
BFR_vs_HLRT_at_T2,P53_PATHWAY,0.84,0.76,0.35,-0.91,0.46,0.84,0.49,NA,NA
BFR_vs_HLRT_at_T2,E2F_TARGETS,-0.84,-0.93,-0.53,0.91,-0.51,-0.84,-0.53,NA,NA
BFR_vs_HLRT_at_T2,ANDROGEN_RESPONSE,-0.84,-0.93,-0.59,-0.63,-0.57,-0.84,-0.63,NA,NA
BFR_vs_HLRT_at_T2,HYPOXIA,-0.84,-0.89,0.91,-0.91,0.92,-0.84,0.91,NA,NA
BFR_vs_HLRT_at_T2,G2M_CHECKPOINT,-0.86,-0.93,0.56,0.91,0.59,-0.86,0.55,NA,NA
BFR_vs_HLRT_at_T2,IL2_STAT5_SIGNALING,-0.86,-0.93,0.82,-0.81,0.82,-0.86,0.8,NA,NA
BFR_vs_HLRT_at_T2,INTERFERON_ALPHA_RESPONSE,0.88,0.81,0.82,0.65,0.82,0.88,0.8,NA,NA
BFR_vs_HLRT_at_T2,REACTIVE_OXYGEN_SPECIES_PATHWAY,0.9,0.81,-0.74,0.91,-0.74,0.9,-0.75,NA,NA
BFR_vs_HLRT_at_T2,INTERFERON_GAMMA_RESPONSE,0.91,0.81,0.81,0.91,0.8,0.91,0.8,NA,NA
BFR_vs_HLRT_at_T2,MTORC1_SIGNALING,-0.99,0.85,0.71,-0.91,0.71,-0.99,0.74,NA,NA
interaction,TNFA_SIGNALING_VIA_NFKB,-0.88,-0.42,-0.23,-0.87,-0.38,-0.88,-0.22,-0.42,-0.88
interaction,SPERMATOGENESIS,0.88,0.42,0.32,0.71,0.39,0.88,0.44,0.42,0.88
interaction,BILE_ACID_METABOLISM,0.88,0.42,0.32,0.87,0.39,0.88,0.44,0.42,0.88
interaction,UV_RESPONSE_UP,0.88,0.56,0.39,0.76,0.39,0.88,0.45,0.56,0.88
interaction,PEROXISOME,0.88,0.42,0.32,0.95,0.39,0.88,0.44,0.42,0.88
interaction,APOPTOSIS,-0.88,-0.47,-0.45,-0.76,-0.39,-0.88,-0.47,-0.47,-0.88
interaction,MITOTIC_SPINDLE,-0.88,-0.42,-0.32,-0.95,-0.39,-0.88,-0.44,-0.42,-0.88
interaction,ESTROGEN_RESPONSE_EARLY,-0.88,-0.71,-0.75,-0.95,-0.7,-0.88,-0.74,-0.71,-0.88
interaction,INFLAMMATORY_RESPONSE,-0.88,-0.6,-0.45,-0.87,-0.39,-0.88,-0.47,-0.6,-0.88
interaction,UNFOLDED_PROTEIN_RESPONSE,-0.88,-0.57,-0.63,-0.71,-0.66,-0.88,-0.59,-0.57,-0.88
interaction,HEME_METABOLISM,0.88,0.22,0.015,0.87,0.018,0.88,0.013,0.22,0.88
interaction,APICAL_JUNCTION,-0.94,-0.42,-0.45,-0.76,-0.39,-0.94,-0.47,-0.42,-0.94
interaction,XENOBIOTIC_METABOLISM,0.94,0.42,0.49,0.95,0.54,0.94,0.47,0.42,0.94
interaction,PROTEIN_SECRETION,0.94,0.56,0.55,0.95,0.66,0.94,0.59,0.56,0.94
interaction,KRAS_SIGNALING_DN,-0.94,-0.71,-0.91,-0.99,-0.95,-0.94,-0.94,-0.71,-0.94
interaction,MYOGENESIS,-0.94,-0.42,-0.32,-0.99,-0.39,-0.94,-0.44,-0.42,-0.94
interaction,MYC_TARGETS_V1,-0.94,-0.8,-0.85,-0.99,-0.86,-0.94,-0.92,-0.8,-0.94
interaction,ALLOGRAFT_REJECTION,-0.94,-0.8,-0.91,-0.71,-0.95,-0.94,-0.94,-0.8,-0.94
interaction,FATTY_ACID_METABOLISM,0.94,0.51,0.45,0.99,0.39,0.94,0.45,0.51,0.94
interaction,DNA_REPAIR,0.94,0.71,0.78,0.92,0.86,0.94,0.81,0.71,0.94
interaction,PI3K_AKT_MTOR_SIGNALING,0.94,0.71,0.91,0.99,0.95,0.94,0.94,0.71,0.94
interaction,ESTROGEN_RESPONSE_LATE,-0.94,-0.84,-0.91,-0.99,-0.95,-0.94,-0.94,-0.85,-0.94
interaction,ADIPOGENESIS,0.94,0.71,0.91,0.96,0.95,0.94,0.94,0.71,0.94
interaction,REACTIVE_OXYGEN_SPECIES_PATHWAY,0.94,0.71,0.91,-0.99,0.95,0.94,0.94,0.71,0.94
interaction,EPITHELIAL_MESENCHYMAL_TRANSITION,-0.94,-0.56,-0.45,-0.95,-0.52,-0.94,-0.57,-0.56,-0.94
interaction,KRAS_SIGNALING_UP,0.94,0.8,0.75,-0.95,0.7,0.94,0.72,0.8,0.94
interaction,P53_PATHWAY,0.94,0.8,0.5,-0.99,0.54,0.94,0.47,0.8,0.94
interaction,IL2_STAT5_SIGNALING,-0.94,-0.84,-0.91,-0.98,-0.95,-0.94,-0.94,-0.84,-0.94
interaction,G2M_CHECKPOINT,-0.94,-0.94,0.96,0.99,0.96,-0.94,0.95,-0.94,-0.94
interaction,E2F_TARGETS,-0.94,-0.94,0.91,-0.99,0.95,-0.94,0.94,-0.94,-0.94
interaction,COAGULATION,-0.94,-0.85,-0.91,-0.92,-0.95,-0.94,-0.94,-0.85,-0.94
interaction,INTERFERON_ALPHA_RESPONSE,0.94,0.84,0.91,0.99,0.95,0.94,0.94,0.84,0.94
interaction,GLYCOLYSIS,0.94,0.8,0.63,0.96,0.66,0.94,0.59,0.8,0.94
interaction,HYPOXIA,-0.94,-0.94,-0.91,-0.99,-0.95,-0.94,-0.94,-0.94,-0.94
interaction,MTORC1_SIGNALING,0.94,0.84,0.91,-0.99,0.92,0.94,0.94,0.84,0.94
interaction,COMPLEMENT,0.94,0.84,0.96,0.99,0.96,0.94,0.95,0.84,0.94
interaction,OXIDATIVE_PHOSPHORYLATION,-0.94,-0.94,-0.96,0.99,-0.96,-0.94,-0.95,-0.94,-0.94
interaction,UV_RESPONSE_DN,-0.96,-1,-0.99,-0.95,-1,-0.96,-1,-1,-0.96
interaction,INTERFERON_GAMMA_RESPONSE,-1,0.94,-0.91,-0.99,-0.95,-1,-0.94,0.94,-1
interaction,ANDROGEN_RESPONSE,-1,0.94,-0.91,-0.95,-0.95,-1,-0.94,0.94,-1
interaction,CHOLESTEROL_HOMEOSTASIS,1,0.94,-0.91,0.99,-0.95,1,-0.95,0.94,1
BFR_vs_HLRT_at_T1,SPERMATOGENESIS,-0.96,-0.5,-0.35,-0.95,-0.57,-0.96,-0.32,-0.5,-0.5
BFR_vs_HLRT_at_T1,ESTROGEN_RESPONSE_LATE,0.96,0.5,0.48,0.95,0.57,0.96,0.55,0.5,0.5
BFR_vs_HLRT_at_T1,PI3K_AKT_MTOR_SIGNALING,-0.96,-0.5,-0.48,-0.95,-0.57,-0.96,-0.51,-0.5,-0.96
BFR_vs_HLRT_at_T1,UV_RESPONSE_DN,-0.96,-0.6,-0.67,0.95,-0.72,-0.96,-0.72,-0.6,-0.96
BFR_vs_HLRT_at_T1,HEME_METABOLISM,-0.96,-0.42,-0.029,-0.95,-0.025,-0.96,-0.028,-0.42,-0.96
BFR_vs_HLRT_at_T1,UV_RESPONSE_UP,-0.96,-0.99,-0.76,-0.95,-0.9,-0.96,-0.84,-0.99,-0.96
BFR_vs_HLRT_at_T1,CHOLESTEROL_HOMEOSTASIS,0.96,0.82,0.61,0.95,0.72,0.96,0.72,0.82,0.96
BFR_vs_HLRT_at_T1,COMPLEMENT,-0.96,-0.98,-0.76,0.96,-0.86,-0.96,-0.82,-0.98,-0.96
BFR_vs_HLRT_at_T1,MYOGENESIS,-0.96,-0.55,-0.48,-0.95,-0.57,-0.96,-0.55,-0.55,-0.96
BFR_vs_HLRT_at_T1,FATTY_ACID_METABOLISM,0.96,0.89,0.76,0.95,0.84,0.96,0.8,0.89,0.96
BFR_vs_HLRT_at_T1,OXIDATIVE_PHOSPHORYLATION,0.96,0.5,0.16,-0.95,0.28,0.96,0.29,0.5,0.96
BFR_vs_HLRT_at_T1,UNFOLDED_PROTEIN_RESPONSE,0.96,0.99,0.61,0.95,0.72,0.96,0.72,0.99,0.96
BFR_vs_HLRT_at_T1,EPITHELIAL_MESENCHYMAL_TRANSITION,-0.96,-0.52,-0.57,-0.95,-0.72,-0.96,-0.67,-0.52,-0.96
BFR_vs_HLRT_at_T1,XENOBIOTIC_METABOLISM,-0.96,-0.99,-0.8,-0.95,-0.9,-0.96,-0.84,-0.99,-0.96
BFR_vs_HLRT_at_T1,REACTIVE_OXYGEN_SPECIES_PATHWAY,-0.96,-0.99,-0.76,0.95,-0.87,-0.96,-0.84,-0.99,-0.96
BFR_vs_HLRT_at_T1,ADIPOGENESIS,0.96,0.99,0.8,0.95,0.9,0.96,0.84,0.99,0.96
BFR_vs_HLRT_at_T1,APOPTOSIS,0.96,0.99,0.87,0.95,0.9,0.96,0.89,0.99,0.96
BFR_vs_HLRT_at_T1,ESTROGEN_RESPONSE_EARLY,0.96,0.99,0.87,0.95,0.9,0.96,0.89,0.99,0.96
BFR_vs_HLRT_at_T1,BILE_ACID_METABOLISM,0.96,0.99,0.87,0.95,0.9,0.96,0.89,0.99,0.96
BFR_vs_HLRT_at_T1,ANDROGEN_RESPONSE,-0.96,-0.99,0.76,0.95,0.86,-0.96,0.8,-0.99,-0.96
BFR_vs_HLRT_at_T1,PROTEIN_SECRETION,-0.96,-0.99,-0.87,0.95,-0.9,-0.96,-0.89,-0.99,-0.96
BFR_vs_HLRT_at_T1,IL2_STAT5_SIGNALING,0.96,0.99,0.87,0.95,0.9,0.96,0.89,0.99,0.96
BFR_vs_HLRT_at_T1,GLYCOLYSIS,0.96,0.99,0.87,0.95,0.9,0.96,0.89,0.99,0.96
BFR_vs_HLRT_at_T1,MYC_TARGETS_V1,-0.96,-0.99,-0.87,-0.95,-0.9,-0.96,-0.89,-0.99,-0.96
BFR_vs_HLRT_at_T1,MTORC1_SIGNALING,-0.96,-0.99,-0.76,-0.95,-0.87,-0.96,-0.82,-0.99,-0.96
BFR_vs_HLRT_at_T1,MITOTIC_SPINDLE,0.96,0.99,0.87,-0.95,0.9,0.96,0.89,0.99,0.96
BFR_vs_HLRT_at_T1,P53_PATHWAY,-0.96,-0.99,-0.87,0.96,-0.9,-0.96,-0.89,-0.99,-0.96
BFR_vs_HLRT_at_T1,INTERFERON_GAMMA_RESPONSE,0.96,0.99,0.87,0.95,0.9,0.96,0.89,0.99,0.96
BFR_vs_HLRT_at_T1,G2M_CHECKPOINT,0.96,0.99,0.87,-0.95,0.9,0.96,0.84,0.99,0.96
BFR_vs_HLRT_at_T1,APICAL_JUNCTION,-0.96,-0.99,0.87,0.95,0.9,-0.96,0.89,-0.99,-0.96
BFR_vs_HLRT_at_T1,TNFA_SIGNALING_VIA_NFKB,0.96,0.99,0.87,0.95,0.9,0.96,0.89,0.99,0.96
BFR_vs_HLRT_at_T1,INFLAMMATORY_RESPONSE,-0.96,-0.99,-0.87,0.95,-0.9,-0.96,-0.89,-0.99,-0.96
BFR_vs_HLRT_at_T1,KRAS_SIGNALING_UP,-0.96,-0.99,-0.76,0.95,-0.84,-0.96,-0.8,-0.99,-0.96
BFR_vs_HLRT_at_T1,ALLOGRAFT_REJECTION,0.96,0.99,0.87,0.95,0.9,0.96,0.9,0.99,0.96
BFR_vs_HLRT_at_T1,INTERFERON_ALPHA_RESPONSE,-0.96,-0.99,0.91,0.95,0.9,-0.96,0.92,-0.99,-0.96
BFR_vs_HLRT_at_T1,COAGULATION,-0.96,-0.99,-0.76,0.95,-0.86,-0.96,-0.82,-0.99,-0.96
BFR_vs_HLRT_at_T1,HYPOXIA,-0.96,-0.99,-0.87,0.95,-0.9,-0.96,-0.89,-0.99,-0.96
BFR_vs_HLRT_at_T1,PEROXISOME,-0.96,-1,-0.9,-0.95,-0.9,-0.96,-0.92,-1,-0.96
BFR_vs_HLRT_at_T1,KRAS_SIGNALING_DN,-0.96,-1,-0.87,-0.95,-0.9,-0.96,-0.89,-1,-0.96
