contrast,pathway,diego_90:fry,diego_90:camera,diego_90:fgsea,diego_91:ssGSEA_limma,dustyn_pr11_fgsea:fgsea,dustyn_pr11_fry:fry,dustyn_pr15_fgsea:fgsea,matheus_pr13:camera,matheus_pr13:fry
BFR_post_vs_pre,OXIDATIVE_PHOSPHORYLATION,4.8e-4,9.8e-13,2.2e-22,0.013,1.4000000000000002e-22,4.8e-4,2.6e-22,9.8e-13,4.8e-4
BFR_post_vs_pre,G2M_CHECKPOINT,-0.0043,-0.11,-0.047,-0.3,-0.05,-0.0043,-0.035,-0.11,-0.0043
BFR_post_vs_pre,KRAS_SIGNALING_DN,-0.0043,-0.15,-0.08,-0.66,-0.06,-0.0043,-0.062,-0.15,-0.0043
BFR_post_vs_pre,FATTY_ACID_METABOLISM,0.012,0.0079,1.2e-5,0.53,5.7e-6,0.012,9.5e-6,0.0079,0.012
BFR_post_vs_pre,SPERMATOGENESIS,-0.028,-0.54,-0.26,-0.79,-0.27,-0.028,-0.27,-0.54,-0.028
BFR_post_vs_pre,ADIPOGENESIS,0.028,0.11,0.017,0.79,0.023,0.028,0.028,0.11,0.028
BFR_post_vs_pre,PEROXISOME,0.028,0.24,0.26,0.73,0.19,0.028,0.19,0.24,0.028
BFR_post_vs_pre,MYOGENESIS,-0.036,-0.0079,-1.1e-4,-0.39,-1.5e-4,-0.036,-2e-4,-0.0079,-0.036
BFR_post_vs_pre,KRAS_SIGNALING_UP,0.099,0.32,0.38,0.73,0.35,0.099,0.31,0.32,0.099
BFR_post_vs_pre,INTERFERON_ALPHA_RESPONSE,0.099,0.32,0.41,0.66,0.4,0.099,0.38,0.32,0.099
BFR_post_vs_pre,INTERFERON_GAMMA_RESPONSE,0.11,0.32,0.26,0.79,0.3,0.11,0.31,0.32,0.11
BFR_post_vs_pre,E2F_TARGETS,-0.12,-0.64,-0.73,-0.53,-0.71,-0.12,-0.74,-0.64,-0.12
BFR_post_vs_pre,ALLOGRAFT_REJECTION,0.25,0.59,0.55,0.87,0.6,0.25,0.61,0.59,0.25
BFR_post_vs_pre,COAGULATION,0.25,0.24,0.26,0.82,0.29,0.25,0.27,0.24,0.25
BFR_post_vs_pre,ANDROGEN_RESPONSE,-0.4,-0.93,-0.89,-0.16,-0.9,-0.4,-0.93,-0.93,-0.4
BFR_post_vs_pre,APICAL_JUNCTION,0.4,0.32,0.41,-0.82,0.42,0.4,0.52,0.32,0.4
BFR_post_vs_pre,ESTROGEN_RESPONSE_EARLY,-0.54,-0.93,-0.88,-0.66,-0.9,-0.54,-0.9,-0.93,-0.54
BFR_post_vs_pre,XENOBIOTIC_METABOLISM,0.55,0.59,0.55,0.79,0.58,0.55,0.62,0.59,0.55
BFR_post_vs_pre,MYC_TARGETS_V1,-0.57,-0.93,-0.98,-0.79,-0.98,-0.57,-0.99,-0.93,-0.57
BFR_post_vs_pre,ESTROGEN_RESPONSE_LATE,0.64,0.93,0.73,-0.79,0.71,0.64,0.74,0.93,0.67
BFR_post_vs_pre,HYPOXIA,0.72,0.68,0.68,-0.89,0.63,0.72,0.66,0.68,0.72
BFR_post_vs_pre,P53_PATHWAY,0.8,0.93,0.89,0.79,0.9,0.8,0.93,0.93,0.8
BFR_post_vs_pre,UV_RESPONSE_DN,-0.8,-0.95,-0.73,-0.3,-0.71,-0.8,-0.74,-0.95,-0.8
BFR_post_vs_pre,BILE_ACID_METABOLISM,0.8,0.93,0.77,0.86,0.71,0.8,0.74,0.93,0.8
BFR_post_vs_pre,COMPLEMENT,0.83,0.93,0.89,0.79,0.9,0.83,0.9,0.93,0.83
BFR_post_vs_pre,APOPTOSIS,-0.83,-0.95,-0.93,-0.53,-0.96,-0.83,-0.96,-0.95,-0.83
BFR_post_vs_pre,GLYCOLYSIS,0.83,0.93,0.77,-0.87,0.87,0.83,0.81,0.93,0.83
BFR_post_vs_pre,INFLAMMATORY_RESPONSE,-0.83,-0.95,0.97,-0.53,0.96,-0.83,0.96,-0.95,-0.83
BFR_post_vs_pre,TNFA_SIGNALING_VIA_NFKB,-0.83,-0.95,-0.97,-0.66,-0.96,-0.83,-0.96,-0.95,-0.83
BFR_post_vs_pre,MTORC1_SIGNALING,-0.91,-0.95,0.81,-0.79,0.88,-0.91,0.83,-0.95,-0.91
BFR_post_vs_pre,IL2_STAT5_SIGNALING,0.96,0.93,0.88,-0.79,0.9,0.96,0.9,0.93,0.96
BFR_post_vs_pre,HEME_METABOLISM,0.96,0.93,-0.89,-0.79,-0.9,0.96,-0.93,0.93,0.96
BFR_post_vs_pre,UV_RESPONSE_UP,-0.96,0.95,-0.89,0.53,-0.9,-0.96,-0.93,0.95,-0.96
BFR_post_vs_pre,DNA_REPAIR,0.96,0.95,0.88,0.79,0.9,0.96,0.9,0.95,0.96
BFR_post_vs_pre,REACTIVE_OXYGEN_SPECIES_PATHWAY,0.96,0.95,0.98,-0.79,0.98,0.96,0.99,0.95,0.96
BFR_post_vs_pre,EPITHELIAL_MESENCHYMAL_TRANSITION,0.96,0.93,0.73,-0.79,0.71,0.96,0.74,0.93,0.96
BFR_post_vs_pre,CHOLESTEROL_HOMEOSTASIS,-0.96,0.95,0.68,0.79,0.71,-0.96,0.68,0.95,-0.96
BFR_post_vs_pre,PROTEIN_SECRETION,-0.96,0.95,-0.98,0.89,-0.98,-0.96,-0.99,0.95,-0.96
